,Date,signal,short_mavg,long_mavg,momentum,vwap
2450,2023-11-22,0.0,,,,
2451,2023-11-24,0.0,,,,377.5366719563802
2452,2023-11-27,1.0,,,,377.3272005706528
2453,2023-11-28,1.0,,,,377.7875539571647
2454,2023-11-29,1.0,,,1.0,378.72732891835864
2455,2023-11-30,0.0,,,1.4800109863280682,379.1321800715778
2456,2023-12-01,0.0,,,-4.0999755859375,378.91248688251596
2457,2023-12-04,0.0,,,-13.559997558593807,378.0800919617542
2458,2023-12-05,0.0,,,-6.33001708984375,376.3402699325059
2459,2023-12-06,0.0,,,-10.110015869140682,375.7288037697662
2460,2023-12-07,0.0,,,-3.559997558593693,375.26261753085436
2461,2023-12-08,0.0,,,5.089996337890625,374.77205765506153
2462,2023-12-11,0.0,,,-1.2200012207031818,374.59977014258027
2463,2023-12-12,1.0,,,5.580017089843807,374.16717184267077
2464,2023-12-13,1.0,,,3.419982910156193,374.08842548143605
2465,2023-12-14,0.0,,,-8.300018310546818,374.1027116671723
2466,2023-12-15,0.0,,,-0.5699768066405682,373.46011720062785
2467,2023-12-18,0.0,,,-1.730010986328125,372.878631285643
2468,2023-12-19,1.0,,,-1.1099853515625,372.8179053527807
2469,2023-12-20,0.0,,,4.690002441406193,372.79107482273633
2470,2023-12-21,1.0,,,2.80999755859375,372.77245793865274
2471,2023-12-22,1.0,,,1.92999267578125,372.7691262105804
2472,2023-12-26,1.0,,,1.399993896484375,372.8088457265311
2473,2023-12-27,1.0,,,3.450012207031193,372.85508197563297
2474,2023-12-28,1.0,,,1.739990234375,372.88192583628495
2475,2023-12-29,1.0,,,1.46002197265625,372.9361453730287
2476,2024-01-02,0.0,,,-3.790008544921875,373.0108426363312
2477,2024-01-03,0.0,,,-3.470001220703068,372.9431279135335
2478,2024-01-04,0.0,,,-7.339996337890625,372.87273091937084
2479,2024-01-05,0.0,,,-8.290008544921875,372.7729736828283
2480,2024-01-08,1.0,,,3.82000732421875,372.66064620843645
2481,2024-01-09,1.0,,,5.19000244140625,372.66982817408166
2482,2024-01-10,1.0,,,14.829986572265625,372.713323328456
2483,2024-01-11,1.0,,,16.8800048828125,372.97469265911224
2484,2024-01-12,1.0,,,13.779998779296875,373.37850936713977
2485,2024-01-16,1.0,,,14.47998046875,373.7252914495499
2486,2024-01-17,1.0,,,6.70001220703125,374.23991779526165
2487,2024-01-18,1.0,,,9.239990234375,374.5769553317489
2488,2024-01-19,1.0,,,10.20001220703125,375.02709469597994
2489,2024-01-22,1.0,,,6.240020751953125,375.6892641726559
2490,2024-01-23,1.0,,,9.42999267578125,376.26479567193707
2491,2024-01-24,1.0,,,8.69000244140625,376.6916299854109
2492,2024-01-25,1.0,,,6.199981689453125,377.3169725618024
2493,2024-01-26,1.0,,,7.419982910156307,377.86082564401966
2494,2024-01-29,1.0,,,10.82000732421875,378.2945434300716
2495,2024-01-30,1.0,,,6.029998779296875,378.95383068650176
2496,2024-01-31,1.0,,,-7.290008544921875,379.8482551330097
2497,2024-02-01,1.0,,,-0.14999389648443184,380.79761487144486
2498,2024-02-02,1.0,,,1.5,381.3955097035388
2499,2024-02-05,1.0,382.5002001953125,,-2.94000244140625,382.02502892972393
2500,2024-02-06,1.0,383.05299987792966,,7.910003662109375,382.52213035352975
2501,2024-02-07,1.0,383.78539978027345,,10.269989013671818,382.8492758128462
2502,2024-02-08,1.0,384.49539978027343,,2.889984130859375,383.34458753340425
2503,2024-02-09,1.0,385.25239929199216,,14.899993896484318,383.8340388098895
2504,2024-02-12,1.0,385.98059936523435,,9.77001953125,384.40321286213504
2505,2024-02-13,1.0,386.52879943847654,,-7.72998046875,384.9043925010977
2506,2024-02-14,1.0,387.22839904785155,,-4.6199951171875,385.3344332898897
2507,2024-02-15,1.0,387.9767987060547,,-13.989990234374943,385.65873738367816
2508,2024-02-16,1.0,388.60759887695315,,-11.20001220703125,385.97581963893964
2509,2024-02-20,1.0,389.2873992919922,,-3.529998779296818,386.2685934983586
2510,2024-02-21,1.0,389.9119989013672,,-7.309997558593693,386.5210101756615
2511,2024-02-22,1.0,390.6603985595703,,5.089996337890625,386.6941809812755
2512,2024-02-23,1.0,391.4411987304687,,6.279998779296875,387.1213820225911
2513,2024-02-26,1.0,392.1043988037109,,4.75,387.37917937689554
2514,2024-02-27,1.0,392.76659912109375,,5.300018310546818,387.6023510542801
2515,2024-02-28,1.0,393.6023992919922,,-3.92999267578125,387.7796912638763
2516,2024-02-29,1.0,394.4605993652344,,3.300018310546875,387.9419091752525
2517,2024-03-01,1.0,395.25599975585936,,4.8800048828125,388.3982229929031
