,Date,signal,short_mavg,long_mavg,momentum,vwap
2336,2023-06-12,0.0,,,,
2337,2023-06-13,1.0,,,,329.7033386230469
2338,2023-06-14,1.0,,,,331.7370142116088
2339,2023-06-15,1.0,,,,333.3919760321108
2340,2023-06-16,1.0,,,10.47998046875,337.4356739159676
2341,2023-06-20,0.0,,,3.759979248046875,339.72771979778986
2342,2023-06-21,0.0,,,-3.779998779296875,339.5759878668919
2343,2023-06-22,1.0,,,-8.3900146484375,338.96368709985063
2344,2023-06-23,0.0,,,-7.30999755859375,338.8386586986736
2345,2023-06-26,0.0,,,-9.449981689453125,338.5364163607117
2346,2023-06-27,0.0,,,1.010009765625,337.958796300673
2347,2023-06-28,0.0,,,-3.8599853515625,337.5871328983995
2348,2023-06-29,0.0,,,0.029998779296875,337.4800293391821
2349,2023-06-30,1.0,,,11.94000244140625,337.3356829697183
2350,2023-07-03,1.0,,,3.41998291015625,337.5420150856623
2351,2023-07-05,1.0,,,2.29998779296875,337.57317246642305
2352,2023-07-06,1.0,,,6.220001220703125,337.6007678591186
2353,2023-07-07,0.0,,,-3.32000732421875,337.75423406998186
2354,2023-07-10,0.0,,,-6.160003662109375,337.7976591985164
2355,2023-07-11,0.0,,,-5.67999267578125,337.37045316461905
2356,2023-07-12,1.0,,,-4.069976806640625,337.02271862337324
2357,2023-07-13,1.0,,,5.44000244140625,337.0870789205918
2358,2023-07-14,1.0,,,13.410003662109375,337.2614063940058
2359,2023-07-17,1.0,,,13.260009765625,337.7321387217041
2360,2023-07-18,1.0,,,22.28997802734375,337.97567802499617
2361,2023-07-19,1.0,,,12.41998291015625,339.734147584614
2362,2023-07-20,1.0,,,1.6300048828125,340.6812299268853
2363,2023-07-21,1.0,,,-1.96002197265625,341.10756592381057
2364,2023-07-24,1.0,,,-14.3800048828125,341.40831209059735
2365,2023-07-25,1.0,,,-4.0999755859375,341.5154065435927
2366,2023-07-26,0.0,,,-9.100006103515625,341.88372070230866
2367,2023-07-27,0.0,,,-13.04998779296875,341.67457740929234
2368,2023-07-28,0.0,,,-6.739990234375,341.3519106564552
2369,2023-07-31,0.0,,,-15.05999755859375,341.2341182810565
2370,2023-08-01,0.0,,,-1.42999267578125,341.09687723735703
2371,2023-08-02,0.0,,,-3.220001220703125,341.0115074925511
2372,2023-08-03,0.0,,,-11.709991455078125,340.70683140632764
2373,2023-08-04,0.0,,,-8.1400146484375,340.4871849624124
2374,2023-08-07,0.0,,,-6.230010986328125,340.2664460106849
2375,2023-08-08,0.0,,,-1.45001220703125,340.100033210695
2376,2023-08-09,0.0,,,-4.42999267578125,339.8277351334629
2377,2023-08-10,0.0,,,-4.850006103515625,339.518507062073
2378,2023-08-11,0.0,,,-9.0999755859375,339.26134351987946
2379,2023-08-14,0.0,,,-2.009979248046875,338.897039892156
2380,2023-08-15,0.0,,,-0.370025634765625,338.65284133177187
2381,2023-08-16,0.0,,,-2.529998779296875,338.4376362788371
2382,2023-08-17,0.0,,,-4.1300048828125,338.16543839851795
2383,2023-08-18,0.0,,,-7.55999755859375,337.84247561166063
2384,2023-08-21,0.0,,,0.02001953125,337.42653305633183
2385,2023-08-22,0.0,334.6661981201172,,2.05999755859375,337.12735101884437
2386,2023-08-23,0.0,334.5691979980469,,10.1199951171875,336.96535604621357
2387,2023-08-24,0.0,334.2827978515625,,3.489990234375,336.8070638651495
2388,2023-08-25,0.0,333.99559814453124,,1.100006103515625,336.6014161582578
2389,2023-08-28,0.0,333.5075982666016,,1.240020751953125,336.3868519301965
2390,2023-08-29,0.0,333.22919860839846,,1.410003662109375,336.2590640875916
2391,2023-08-30,0.0,333.0439990234375,,8.82000732421875,336.1301476995606
2392,2023-08-31,0.0,332.9279992675781,,4.779998779296875,336.0504798372676
2393,2023-09-01,0.0,332.7069995117188,,4.959991455078125,335.91838385049044
2394,2023-09-05,0.0,332.6775994873047,,5.139984130859375,335.85217511549376
2395,2023-09-06,0.0,332.7631994628906,,4.089996337890625,335.8101967602212
2396,2023-09-07,0.0,332.6699993896484,,2.149993896484375,335.7731565713181
2397,2023-09-08,0.0,332.6383990478516,,5.6099853515625,335.71391602500864
2398,2023-09-11,1.0,332.6961993408203,,4.3900146484375,335.68444508850354
2399,2023-09-12,0.0,332.5207989501953,,-1.110015869140625,335.7006228098814
2400,2023-09-13,1.0,332.48219909667966,,6.149993896484375,335.6753493604647
2401,2023-09-14,1.0,332.49319946289063,,4.430023193359375,335.66551822889795
2402,2023-09-15,0.0,332.27219970703123,,-7.720001220703125,335.70240288948827
2403,2023-09-18,0.0,332.10899963378904,,-2.709991455078125,335.6301952173065
2404,2023-09-19,0.0,332.04539978027344,,-7.410003662109375,335.56174616882964
2405,2023-09-20,0.0,331.8113995361328,,-17.930023193359375,335.48559824314077
2406,2023-09-21,0.0,331.45799926757815,,-10.69000244140625,335.3415511947732
2407,2023-09-22,0.0,330.94499938964844,,-12.04998779296875,335.0380797089425
2408,2023-09-25,0.0,330.39099975585935,,-11.1099853515625,334.83993703686275
2409,2023-09-26,0.0,329.71919982910157,,-8.629974365234375,334.6644637495948
2410,2023-09-27,0.0,328.7852001953125,,-6.739990234375,334.3547033422119
2411,2023-09-28,0.0,327.95640075683593,,-3.3699951171875,334.1272895979947
2412,2023-09-29,0.0,327.33400085449216,,-1.790008544921875,333.9075665126892
2413,2023-10-02,0.0,326.8946008300781,,9.65997314453125,333.6927123798281
2414,2023-10-03,0.0,326.2602014160156,,0.600006103515625,333.5443144022639
2415,2023-10-04,0.0,325.61980102539064,,5.319976806640625,333.3499646356194
2416,2023-10-05,0.0,325.25160095214846,,3.6099853515625,333.18682934163076
2417,2023-10-06,0.0,325.1824011230469,,5.46002197265625,333.05925066432525
2418,2023-10-09,0.0,325.0114013671875,,16.42999267578125,332.94821139782516
2419,2023-10-10,0.0,324.86080139160157,,9.430023193359375,332.89804398275106
2420,2023-10-11,0.0,324.78240173339844,,13.060028076171875,332.85995482310557
2421,2023-10-12,0.0,324.8556018066406,,3.899993896484375,332.8465485287865
2422,2023-10-13,0.0,324.877001953125,,-2.089996337890625,332.83123482117765
2423,2023-10-16,0.0,324.9742022705078,,4.25,332.79645503742665
2424,2023-10-17,0.0,325.0132025146484,,-0.360015869140625,332.7998463015089
2425,2023-10-18,0.0,325.09440246582034,,-1.050018310546875,332.7844809893452
2426,2023-10-19,0.0,325.2762023925781,,3.589996337890625,332.7692023749409
2427,2023-10-20,0.0,325.3510028076172,,-5.970001220703125,332.7722150332165
2428,2023-10-23,0.0,325.51720275878904,,-2.739990234375,332.71929292120376
2429,2023-10-24,0.0,325.6470025634766,,0.420013427734375,332.6774174959334
2430,2023-10-25,1.0,326.023203125,,9.350006103515625,332.6410907749198
2431,2023-10-26,0.0,326.1730035400391,,1.220001220703125,332.84769305257305
2432,2023-10-27,0.0,326.43160339355467,,0.489990234375,332.83673778658726
2433,2023-10-30,1.0,326.848203125,,6.779998779296875,332.8220594591326
2434,2023-10-31,1.0,327.172802734375,,-2.560028076171875,332.8534990505493
2435,2023-11-01,1.0,327.64500305175784,,18.17999267578125,332.88969917048684
2436,2023-11-02,1.0,328.0714031982422,,18.510009765625,333.019187512927
2437,2023-11-03,1.0,328.7280029296875,,15.489990234375,333.1570652204276
2438,2023-11-06,1.0,329.39900268554686,,18.420013427734375,333.3272834353576
2439,2023-11-07,1.0,330.1356024169922,,14.459991455078125,333.5356648341095
2440,2023-11-08,1.0,330.83140258789064,,14.880004882812557,333.80104457320715
2441,2023-11-09,1.0,331.46940246582034,,7.8900146484375,334.09431450877247
2442,2023-11-10,1.0,332.3076025390625,,13.1400146484375,334.35566931718597
2443,2023-11-13,1.0,333.06800231933596,,6.149993896484432,334.69719447283984
2444,2023-11-14,1.0,333.80240234375,,7.069976806640568,334.93679277662636
2445,2023-11-15,1.0,334.53820251464845,,8.980010986328125,335.29172539426736
2446,2023-11-16,1.0,335.4634027099609,,6.5,335.63037388638037
2447,2023-11-17,1.0,336.1750030517578,,3.170013427734318,336.008137385273
2448,2023-11-20,1.0,336.96500305175783,,7.170013427734375,336.4983457250404
2449,2023-11-21,1.0,337.79100341796874,,3.399993896484318,337.2161690881809
2450,2023-11-22,1.0,338.6268035888672,,1.67999267578125,337.5716480202168
2451,2023-11-24,1.0,339.4014031982422,,7.579986572265682,337.8909373701497
2452,2023-11-27,1.0,340.36920288085935,,1.16998291015625,338.0261350103401
2453,2023-11-28,1.0,341.44200317382814,,9.630004882812614,338.32984858173626
2454,2023-11-29,1.0,342.44600341796877,,1.0,338.6251854053602
2455,2023-11-30,1.0,343.6088037109375,,1.4800109863280682,339.02601846502165
2456,2023-12-01,1.0,344.7084039306641,,-4.0999755859375,339.4200347090264
2457,2023-12-04,1.0,345.7510040283203,,-13.559997558593807,339.799385275479
2458,2023-12-05,1.0,346.8506036376953,,-6.33001708984375,340.08269664513097
2459,2023-12-06,1.0,347.98380310058593,,-10.110015869140682,340.30668550333587
2460,2023-12-07,1.0,349.1470031738281,,-3.559997558593693,340.5090223174855
2461,2023-12-08,1.0,350.35880310058593,,5.089996337890625,340.72119829697556
2462,2023-12-11,1.0,351.4698028564453,,-1.2200012207031818,340.9208464805052
2463,2023-12-12,1.0,352.5214031982422,,5.580017089843807,341.16861600790577
2464,2023-12-13,1.0,353.7410028076172,,3.419982910156193,341.41333693247685
2465,2023-12-14,1.0,354.68040283203123,,-8.300018310546818,341.7242304975419
2466,2023-12-15,1.0,355.7078033447266,,-0.5699768066405682,342.06660256487925
2467,2023-12-18,1.0,356.61560302734375,,-1.730010986328125,342.7082739460426
2468,2023-12-19,1.0,357.4844030761719,,-1.1099853515625,342.89178079169636
2469,2023-12-20,1.0,358.32900268554687,,4.690002441406193,343.06711254443604
2470,2023-12-21,1.0,359.15140258789063,,2.80999755859375,343.2901026112997
2471,2023-12-22,1.0,360.0198022460938,,1.92999267578125,343.43962388286195
2472,2023-12-26,1.0,360.9584020996094,,1.399993896484375,343.5898005427527
2473,2023-12-27,1.0,361.787001953125,,3.450012207031193,343.703378960292
2474,2023-12-28,1.0,362.6514019775391,,1.739990234375,343.83146196085556
2475,2023-12-29,1.0,363.57000244140625,,1.46002197265625,343.9589031646844
2476,2024-01-02,1.0,364.36100219726563,,-3.790008544921875,344.1252687000606
2477,2024-01-03,1.0,365.23960205078123,,-3.470001220703068,344.31606260004867
2478,2024-01-04,1.0,366.012001953125,,-7.339996337890625,344.48559099533924
2479,2024-01-05,1.0,366.75640197753904,,-8.290008544921875,344.62923830500785
2480,2024-01-08,1.0,367.4368017578125,,3.82000732421875,344.768171460798
2481,2024-01-09,1.0,368.39480163574217,,5.19000244140625,344.94593183727824
2482,2024-01-10,1.0,369.45400146484377,,14.829986572265625,345.1117387801341
2483,2024-01-11,1.0,370.4004016113281,,16.8800048828125,345.3587347857566
2484,2024-01-12,1.0,371.40760192871096,,13.779998779296875,345.6553292201902
2485,2024-01-16,1.0,372.2916015625,,14.47998046875,345.8945202792325
2486,2024-01-17,1.0,373.1146014404297,,6.70001220703125,346.2154355790328
2487,2024-01-18,1.0,373.9360015869141,,9.239990234375,346.4597120765399
2488,2024-01-19,1.0,374.7788018798828,,10.20001220703125,346.74126258482187
2489,2024-01-22,1.0,375.4984020996094,,6.240020751953125,347.12122975381544
2490,2024-01-23,1.0,376.21240173339845,,9.42999267578125,347.4665785032533
2491,2024-01-24,1.0,377.0498016357422,,8.69000244140625,347.7283725478524
2492,2024-01-25,1.0,377.75380126953127,,6.199981689453125,348.07644482021465
2493,2024-01-26,1.0,378.49880126953127,,7.419982910156307,348.37748417908466
2494,2024-01-29,1.0,379.28780151367187,,10.82000732421875,348.62714914352813
2495,2024-01-30,1.0,380.066201171875,,6.029998779296875,348.99070415414127
2496,2024-01-31,1.0,380.4944006347656,,-7.290008544921875,349.49136094557053
2497,2024-02-01,1.0,381.1730004882813,,-0.14999389648443184,350.12277761085636
2498,2024-02-02,1.0,381.8486004638672,,1.5,350.528051118148
2499,2024-02-05,1.0,382.5002001953125,,-2.94000244140625,350.927591546281
2500,2024-02-06,1.0,383.05299987792966,,7.910003662109375,351.2681637343218
2501,2024-02-07,1.0,383.78539978027345,,10.269989013671818,351.5060463245626
2502,2024-02-08,1.0,384.49539978027343,,2.889984130859375,351.826631807955
2503,2024-02-09,1.0,385.25239929199216,,14.899993896484318,352.1388636629979
2504,2024-02-12,1.0,385.98059936523435,,9.77001953125,352.48430202370463
2505,2024-02-13,1.0,386.52879943847654,,-7.72998046875,352.80392464927525
2506,2024-02-14,1.0,387.22839904785155,,-4.6199951171875,353.1518215870408
2507,2024-02-15,1.0,387.9767987060547,,-13.989990234374943,353.4105352761659
2508,2024-02-16,1.0,388.60759887695315,,-11.20001220703125,353.678056129142
2509,2024-02-20,1.0,389.2873992919922,,-3.529998779296818,353.9412761206388
2510,2024-02-21,1.0,389.9119989013672,,-7.309997558593693,354.2060171513308
2511,2024-02-22,1.0,390.6603985595703,,5.089996337890625,354.40188513990404
2512,2024-02-23,1.0,391.4411987304687,,6.279998779296875,354.74655822467804
2513,2024-02-26,1.0,392.1043988037109,,4.75,354.9549322770927
2514,2024-02-27,1.0,392.76659912109375,,5.300018310546818,355.1508367429967
2515,2024-02-28,1.0,393.6023992919922,,-3.92999267578125,355.32090161538275
2516,2024-02-29,1.0,394.4605993652344,,3.300018310546875,355.4737083529489
2517,2024-03-01,1.0,395.25599975585936,,4.8800048828125,355.8667275040971
