,Date,signal,short_mavg,long_mavg
2226,2023-01-03,0.0,,
2227,2023-01-04,0.0,,
2228,2023-01-05,0.0,,
2229,2023-01-06,0.0,,
2230,2023-01-09,0.0,,
2231,2023-01-10,0.0,,
2232,2023-01-11,0.0,,
2233,2023-01-12,0.0,,
2234,2023-01-13,0.0,,
2235,2023-01-17,0.0,,
2236,2023-01-18,0.0,,
2237,2023-01-19,0.0,,
2238,2023-01-20,0.0,,
2239,2023-01-23,0.0,,
2240,2023-01-24,0.0,,
2241,2023-01-25,0.0,,
2242,2023-01-26,0.0,,
2243,2023-01-27,0.0,,
2244,2023-01-30,0.0,,
2245,2023-01-31,0.0,,
2246,2023-02-01,0.0,,
2247,2023-02-02,0.0,,
2248,2023-02-03,0.0,,
2249,2023-02-06,0.0,,
2250,2023-02-07,0.0,,
2251,2023-02-08,0.0,,
2252,2023-02-09,0.0,,
2253,2023-02-10,0.0,,
2254,2023-02-13,0.0,,
2255,2023-02-14,0.0,,
2256,2023-02-15,0.0,,
2257,2023-02-16,0.0,,
2258,2023-02-17,0.0,,
2259,2023-02-21,0.0,,
2260,2023-02-22,0.0,,
2261,2023-02-23,0.0,,
2262,2023-02-24,0.0,,
2263,2023-02-27,0.0,,
2264,2023-02-28,0.0,,
2265,2023-03-01,0.0,,
2266,2023-03-02,0.0,,
2267,2023-03-03,0.0,,
2268,2023-03-06,0.0,,
2269,2023-03-07,0.0,,
2270,2023-03-08,0.0,,
2271,2023-03-09,0.0,,
2272,2023-03-10,0.0,,
2273,2023-03-13,0.0,,
2274,2023-03-14,0.0,,
2275,2023-03-15,0.0,144.79339965820313,
2276,2023-03-16,-1.0,145.40899978637697,
2277,2023-03-17,-1.0,145.98179977416993,
2278,2023-03-20,-1.0,146.62939971923828,
2279,2023-03-21,-1.0,147.22259979248048,
2280,2023-03-22,-1.0,147.77619995117186,
2281,2023-03-23,-1.0,148.34019989013672,
2282,2023-03-24,-1.0,148.87539978027343,
2283,2023-03-27,-1.0,149.3727996826172,
2284,2023-03-28,-1.0,149.83059967041015,
2285,2023-03-29,-1.0,150.32719970703124,
2286,2023-03-30,-1.0,150.87019958496094,
2287,2023-03-31,-1.0,151.4627993774414,
2288,2023-04-03,-1.0,152.02879943847657,
2289,2023-04-04,-1.0,152.51919952392578,
2290,2023-04-05,-1.0,152.94379943847656,
2291,2023-04-06,-1.0,153.39979949951172,
2292,2023-04-10,-1.0,153.76119934082033,
2293,2023-04-11,-1.0,154.05859954833986,
2294,2023-04-12,-1.0,154.40059967041014,
2295,2023-04-13,-1.0,154.82599975585939,
2296,2023-04-14,-1.0,155.22160003662108,
2297,2023-04-17,-1.0,155.5097998046875,
2298,2023-04-18,-1.0,155.74919982910157,
2299,2023-04-19,-1.0,156.06720001220702,
2300,2023-04-20,-1.0,156.30720001220703,
2301,2023-04-21,-1.0,156.56920013427734,
2302,2023-04-24,-1.0,156.85840026855467,
2303,2023-04-25,-1.0,157.1136004638672,
2304,2023-04-26,-1.0,157.3118002319336,
2305,2023-04-27,-1.0,157.61600036621093,
2306,2023-04-28,-1.0,157.90300018310546,
2307,2023-05-01,-1.0,158.22059997558594,
2308,2023-05-02,-1.0,158.54039978027345,
2309,2023-05-03,-1.0,158.9197998046875,
2310,2023-05-04,-1.0,159.25739959716796,
2311,2023-05-05,-1.0,159.74079986572266,
2312,2023-05-08,-1.0,160.27659973144532,
2313,2023-05-09,-1.0,160.75359985351562,
2314,2023-05-10,-1.0,161.27659973144532,
2315,2023-05-11,-1.0,161.84539978027342,
2316,2023-05-12,-1.0,162.37859985351562,
2317,2023-05-15,-1.0,162.79940002441407,
2318,2023-05-16,-1.0,163.16420013427734,
2319,2023-05-17,-1.0,163.58600006103515,
2320,2023-05-18,-1.0,164.02960021972658,
2321,2023-05-19,-1.0,164.52100036621093,
2322,2023-05-22,-1.0,165.03500030517577,
2323,2023-05-23,-1.0,165.45680023193358,
2324,2023-05-24,-1.0,165.8418002319336,
2325,2023-05-25,-1.0,166.24180023193358,
2326,2023-05-26,-1.0,166.6333999633789,
2327,2023-05-30,-1.0,167.07940002441407,
2328,2023-05-31,-1.0,167.47640014648437,
2329,2023-06-01,-1.0,167.89260009765624,
2330,2023-06-02,-1.0,168.355,
2331,2023-06-05,-1.0,168.76800018310547,
2332,2023-06-06,-1.0,169.1472003173828,
2333,2023-06-07,-1.0,169.53800048828126,
2334,2023-06-08,-1.0,169.99640075683592,
2335,2023-06-09,-1.0,170.40020080566407,
2336,2023-06-12,-1.0,170.82880065917968,
2337,2023-06-13,-1.0,171.19700073242188,
2338,2023-06-14,-1.0,171.55260070800782,
2339,2023-06-15,-1.0,171.96020050048827,
2340,2023-06-16,-1.0,172.38340057373046,
2341,2023-06-20,-1.0,172.790400390625,
2342,2023-06-21,-1.0,173.2290005493164,
2343,2023-06-22,-1.0,173.75300048828126,
2344,2023-06-23,-1.0,174.28460021972657,
2345,2023-06-26,-1.0,174.6788003540039,
2346,2023-06-27,-1.0,175.13580017089845,
2347,2023-06-28,-1.0,175.61620025634767,
2348,2023-06-29,-1.0,176.07860015869142,
2349,2023-06-30,-1.0,176.60540008544922,
2350,2023-07-03,-1.0,177.12160034179686,
2351,2023-07-05,-1.0,177.64780029296875,
2352,2023-07-06,-1.0,178.17740020751953,
2353,2023-07-07,-1.0,178.71559997558595,
2354,2023-07-10,-1.0,179.21260009765626,
2355,2023-07-11,-1.0,179.60600006103516,
2356,2023-07-12,-1.0,180.00780029296874,
2357,2023-07-13,-1.0,180.42680023193358,
2358,2023-07-14,-1.0,180.86980041503907,
2359,2023-07-17,-1.0,181.4006005859375,
2360,2023-07-18,-1.0,181.95940063476561,
2361,2023-07-19,-1.0,182.39000061035156,
2362,2023-07-20,-1.0,182.7826007080078,
2363,2023-07-21,-1.0,183.18600067138672,
2364,2023-07-24,-1.0,183.56980072021486,
2365,2023-07-25,-1.0,183.9672006225586,
2366,2023-07-26,-1.0,184.4058004760742,
2367,2023-07-27,-1.0,184.8288003540039,
2368,2023-07-28,-1.0,185.30400024414064,
2369,2023-07-31,-1.0,185.77920013427735,
2370,2023-08-01,-1.0,186.19040008544923,
2371,2023-08-02,-1.0,186.53880004882814,
2372,2023-08-03,-1.0,186.8782000732422,
2373,2023-08-04,-1.0,187.08680023193358,
2374,2023-08-07,-1.0,187.22700042724608,
2375,2023-08-08,-1.0,187.36320037841796,
2376,2023-08-09,-1.0,187.41840057373048,
2377,2023-08-10,-1.0,187.43180053710938,
2378,2023-08-11,-1.0,187.44260040283203,
2379,2023-08-14,-1.0,187.43000061035156,
2380,2023-08-15,-1.0,187.36000061035156,
2381,2023-08-16,-1.0,187.29980072021485,
2382,2023-08-17,-1.0,187.1956005859375,
2383,2023-08-18,-1.0,187.1290005493164,
2384,2023-08-21,-1.0,187.03440032958986,
2385,2023-08-22,-1.0,186.9598001098633,
2386,2023-08-23,-1.0,186.90640014648437,
2387,2023-08-24,-1.0,186.76780029296876,
2388,2023-08-25,-1.0,186.66100036621094,
2389,2023-08-28,-1.0,186.54460052490234,
2390,2023-08-29,-1.0,186.52860046386718,
2391,2023-08-30,-1.0,186.58140045166016,
2392,2023-08-31,-1.0,186.65960021972657,
2393,2023-09-01,-1.0,186.7088003540039,
2394,2023-09-05,-1.0,186.76920043945313,
2395,2023-09-06,-1.0,186.7220004272461,
2396,2023-09-07,-1.0,186.5120004272461,
2397,2023-09-08,-1.0,186.2906002807617,
2398,2023-09-11,-1.0,186.08600036621092,
2399,2023-09-12,-1.0,185.73260040283202,
2400,2023-09-13,-1.0,185.36760040283204,
2401,2023-09-14,-1.0,185.0558004760742,
2402,2023-09-15,-1.0,184.71980041503906,
2403,2023-09-18,-1.0,184.4656005859375,
2404,2023-09-19,-1.0,184.27480072021484,
2405,2023-09-20,-1.0,184.02300079345704,
2406,2023-09-21,-1.0,183.70620056152345,
2407,2023-09-22,-1.0,183.39120056152345,
2408,2023-09-25,-1.0,183.0990005493164,
2409,2023-09-26,-1.0,182.65840057373046,
2410,2023-09-27,-1.0,182.19240051269531,
2411,2023-09-28,-1.0,181.70420043945313,
2412,2023-09-29,-1.0,181.26580047607422,
2413,2023-10-02,-1.0,180.9020004272461,
2414,2023-10-03,-1.0,180.49500030517578,
2415,2023-10-04,-1.0,180.09580047607423,
2416,2023-10-05,-1.0,179.70400054931642,
2417,2023-10-06,-1.0,179.38940063476562,
2418,2023-10-09,-1.0,179.05260070800782,
2419,2023-10-10,-1.0,178.69140075683595,
2420,2023-10-11,-1.0,178.37520080566406,
2421,2023-10-12,-1.0,178.1378009033203,
2422,2023-10-13,-1.0,177.8914010620117,
2423,2023-10-16,-1.0,177.8260009765625,
2424,2023-10-17,-1.0,177.79200073242188,
2425,2023-10-18,1.0,177.71280059814453,169.0278002166748
2426,2023-10-19,1.0,177.65820068359375,169.27975025177003
2427,2023-10-20,1.0,177.55640075683593,169.5123502731323
2428,2023-10-23,1.0,177.46060089111327,169.752250289917
2429,2023-10-24,1.0,177.34020080566407,169.97135032653807
2430,2023-10-25,1.0,177.21320098876953,170.17610038757323
2431,2023-10-26,1.0,177.01960083007813,170.35690040588378
2432,2023-10-27,1.0,176.90400085449218,170.5305503845215
2433,2023-10-30,1.0,176.82000061035157,170.7149503326416
2434,2023-10-31,1.0,176.71860076904298,170.8950003814697
2435,2023-11-01,1.0,176.65340087890624,171.0851503753662
2436,2023-11-02,1.0,176.58240112304688,171.29695037841796
2437,2023-11-03,1.0,176.5878009033203,171.5038503265381
2438,2023-11-06,1.0,176.60020080566406,171.71065032958984
2439,2023-11-07,1.0,176.63280090332032,171.91420036315918
2440,2023-11-08,1.0,176.60820098876954,172.11600036621093
2441,2023-11-09,1.0,176.50340118408204,172.31875038146973
2442,2023-11-10,1.0,176.47400115966798,172.5309503173828
2443,2023-11-13,1.0,176.38080108642578,172.7253003692627
2444,2023-11-14,1.0,176.33560119628908,172.94750038146972
2445,2023-11-15,1.0,176.43760101318358,173.16610038757324
2446,2023-11-16,1.0,176.68060119628908,173.38750045776368
2447,2023-11-17,1.0,176.91080139160155,173.58185043334962
2448,2023-11-20,1.0,177.1526013183594,173.76660041809083
2449,2023-11-21,1.0,177.43940124511718,173.96115043640137
2450,2023-11-22,1.0,177.78140106201172,174.14445045471192
2451,2023-11-24,1.0,178.0660009765625,174.3347004699707
2452,2023-11-27,1.0,178.36160095214845,174.52930046081542
2453,2023-11-28,1.0,178.61020080566405,174.72625045776368
2454,2023-11-29,1.0,178.81620056152343,174.90385040283203
2455,2023-11-30,1.0,179.105400390625,175.08760040283204
2456,2023-12-01,1.0,179.45160064697265,175.2671504211426
2457,2023-12-04,1.0,179.7444006347656,175.44575035095215
2458,2023-12-05,1.0,180.09120056152344,175.65010032653808
2459,2023-12-06,1.0,180.49840057373046,175.8693003845215
2460,2023-12-07,1.0,180.97520080566406,176.09610038757324
2461,2023-12-08,1.0,181.4756008911133,176.32765045166016
2462,2023-12-11,1.0,181.91500061035157,176.56000038146973
2463,2023-12-12,1.0,182.3342007446289,176.79395042419435
2464,2023-12-13,1.0,182.84540100097655,177.04670043945313
2465,2023-12-14,1.0,183.33440093994142,177.3107004547119
2466,2023-12-15,1.0,183.7876010131836,177.56900047302247
2467,2023-12-18,1.0,184.1556008911133,177.79330047607422
2468,2023-12-19,1.0,184.51460083007814,178.00885047912598
2469,2023-12-20,1.0,184.84340087890624,178.22500045776368
2470,2023-12-21,1.0,185.1410006713867,178.43405044555664
2471,2023-12-22,1.0,185.3988006591797,178.64910049438475
2472,2023-12-26,1.0,185.68280059814452,178.87185050964356
2473,2023-12-27,1.0,185.97140045166014,179.08525047302246
2474,2023-12-28,1.0,186.30000061035156,179.29020050048828
2475,2023-12-29,1.0,186.63380065917968,179.48790046691894
2476,2024-01-02,1.0,186.83740051269533,179.63685043334962
2477,2024-01-03,1.0,187.06480041503906,179.7831004333496
2478,2024-01-04,1.0,187.24300048828124,179.90565048217775
2479,2024-01-05,1.0,187.39780029296875,180.01515045166016
2480,2024-01-08,1.0,187.68700012207032,180.15380043029785
2481,2024-01-09,1.0,188.05200012207033,180.2848504638672
2482,2024-01-10,1.0,188.41140014648437,180.41455047607423
2483,2024-01-11,1.0,188.71740020751952,180.5511004638672
2484,2024-01-12,1.0,189.0204000854492,180.6924504852295
2485,2024-01-16,1.0,189.2136001586914,180.80675048828124
2486,2024-01-17,1.0,189.31579986572265,180.9083504486084
2487,2024-01-18,1.0,189.5554000854492,181.02700050354005
2488,2024-01-19,1.0,189.80200012207033,181.1539505004883
2489,2024-01-22,1.0,190.0433999633789,181.29525047302246
2490,2024-01-23,1.0,190.28919982910156,181.4523504638672
2491,2024-01-24,1.0,190.53099975585937,181.60155044555665
2492,2024-01-25,1.0,190.6863998413086,181.7622504425049
2493,2024-01-26,1.0,190.83879974365234,181.92035041809083
2494,2024-01-29,1.0,190.924599609375,182.07850036621093
2495,2024-01-30,1.0,190.92519958496095,182.19090034484864
2496,2024-01-31,1.0,190.81899932861327,182.2868502807617
2497,2024-02-01,1.0,190.76239929199218,182.39500030517578
2498,2024-02-02,1.0,190.65039947509766,182.49190032958984
2499,2024-02-05,1.0,190.5911993408203,182.5921502685547
2500,2024-02-06,1.0,190.5509994506836,182.70540031433106
2501,2024-02-07,1.0,190.53979949951173,182.8273503112793
2502,2024-02-08,1.0,190.51039978027345,182.94230033874513
2503,2024-02-09,1.0,190.47940002441408,183.0677003479004
2504,2024-02-12,1.0,190.435,183.18465034484862
2505,2024-02-13,1.0,190.3367999267578,183.26780029296876
2506,2024-02-14,1.0,190.19499969482422,183.34015029907226
2507,2024-02-15,1.0,190.08359985351564,183.41150032043458
2508,2024-02-16,1.0,189.86139984130858,183.48035034179688
2509,2024-02-20,1.0,189.6461996459961,183.55090034484863
2510,2024-02-21,1.0,189.40719970703125,183.63355041503905
2511,2024-02-22,1.0,189.18039947509766,183.68755035400392
2512,2024-02-23,1.0,188.96719970703126,183.7326503753662
2513,2024-02-26,1.0,188.6961996459961,183.77960037231446
2514,2024-02-27,1.0,188.389599609375,183.82495040893554
2515,2024-02-28,1.0,188.0557995605469,183.8633003997803
2516,2024-02-29,1.0,187.7193994140625,183.9042003631592
2517,2024-03-01,1.0,187.3659994506836,183.9349503326416
