,Date,signal,short_mavg,long_mavg,momentum,vwap
2396,2023-09-07,0.0,,,,
2397,2023-09-08,1.0,,,,176.4366658528646
2398,2023-09-11,1.0,,,,177.28348551110753
2399,2023-09-12,0.0,,,,177.71047603368424
2400,2023-09-13,0.0,,,-3.3499908447265625,177.53735175768807
2401,2023-09-14,0.0,,,-2.4399871826171875,177.05135034603023
2402,2023-09-15,0.0,,,-4.350006103515625,176.80503021785648
2403,2023-09-18,1.0,,,1.6699981689453125,176.48683246674258
2404,2023-09-19,1.0,,,4.8600006103515625,176.62706717685663
2405,2023-09-20,0.0,,,-0.25,176.7737097388413
2406,2023-09-21,0.0,,,-1.0800018310546875,176.78060756031712
2407,2023-09-22,0.0,,,-3.1800079345703125,176.6208264023375
2408,2023-09-25,0.0,,,-2.9900054931640625,176.5360208854004
2409,2023-09-26,0.0,,,-3.529998779296875,176.4959621493766
2410,2023-09-27,0.0,,,-3.5,176.26391693121758
2411,2023-09-28,0.0,,,-4.0999908447265625,175.92041808426615
2412,2023-09-29,0.0,,,-4.8699951171875,175.62670267936045
2413,2023-10-02,0.0,,,1.7899932861328125,175.4449154693381
2414,2023-10-03,0.0,,,1.970001220703125,175.33983128808893
2415,2023-10-04,0.0,,,2.970001220703125,175.22014992907006
2416,2023-10-05,0.0,,,3.6999969482421875,175.12880347643596
2417,2023-10-06,1.0,,,3.7400054931640625,175.10106072513568
2418,2023-10-09,1.0,,,6.5900115966796875,175.1459832920711
2419,2023-10-10,1.0,,,4.7299957275390625,175.22687182839536
2420,2023-10-11,1.0,,,4.8899993896484375,175.32689977480803
2421,2023-10-12,1.0,,,3.220001220703125,175.4414757803823
2422,2023-10-13,1.0,,,-0.1399993896484375,175.62603339388406
2423,2023-10-16,1.0,,,0.3300018310546875,175.74985274404037
2424,2023-10-17,1.0,,,-2.6500091552734375,175.82172537996632
2425,2023-10-18,0.0,,,-4.8700103759765625,175.85307959525187
2426,2023-10-19,0.0,,,-3.3899993896484375,175.86275269646617
2427,2023-10-20,0.0,,,-5.839996337890625,175.87217768152502
2428,2023-10-23,0.0,,,-4.149993896484375,175.79912464866072
2429,2023-10-24,0.0,,,-2.399993896484375,175.70211306804188
2430,2023-10-25,0.0,,,-4.3600006103515625,175.641379779039
2431,2023-10-26,0.0,,,-5.9900054931640625,175.53212078917701
2432,2023-10-27,0.0,,,-4.779998779296875,175.2877984510146
2433,2023-10-30,0.0,,,-3.1500091552734375,175.09769231472822
2434,2023-10-31,0.0,,,-0.3300018310546875,174.986458033434
2435,2023-11-01,0.0,,,7.0800018310546875,174.88804219509106
2436,2023-11-02,1.0,,,9.350006103515625,174.83775935488245
2437,2023-11-03,1.0,,,6.3600006103515625,174.90342745710532
2438,2023-11-06,1.0,,,8.459991455078125,174.92541122776214
2439,2023-11-07,1.0,,,7.850006103515625,175.00753961755788
2440,2023-11-08,1.0,,,5.3199920654296875,175.16690855008798
2441,2023-11-09,1.0,,,5.760009765624972,175.30177172448188
2442,2023-11-10,1.0,,,7.169998168945341,175.44592697219562
2443,2023-11-13,1.0,,,2.9799957275390625,175.67880549580553
2444,2023-11-14,1.0,,,4.5500030517578125,175.81929163696603
2445,2023-11-15,1.0,176.43760101318358,,5.5999908447265625,176.05217605117264
2446,2023-11-16,1.0,176.68060119628908,,3.310012817382784,176.27317643973979
2447,2023-11-17,1.0,176.91080139160155,,4.8899993896484375,176.51267898916137
2448,2023-11-20,1.0,177.1526013183594,,4.0099945068359375,176.72554531899632
2449,2023-11-21,1.0,177.43940124511718,,2.6300048828125284,176.93649351402345
2450,2023-11-22,1.0,177.78140106201172,,1.5999908447265625,177.099582565209
2451,2023-11-24,1.0,178.0660009765625,,0.279998779296875,177.2778630618637
2452,2023-11-27,1.0,178.36160095214845,,-1.660003662109375,177.37182357199939
2453,2023-11-28,1.0,178.61020080566405,,-0.24000549316403408,177.52406705783034
2454,2023-11-29,1.0,178.81620056152343,,-1.94000244140625,177.67070087103596
2455,2023-11-30,1.0,179.105400390625,,-0.0200042724609375,177.8290385422231
2456,2023-12-01,1.0,179.45160064697265,,1.4500122070312784,177.99453361761303
2457,2023-12-04,1.0,179.7444006347656,,-0.9700012207031534,178.16086829354322
2458,2023-12-05,1.0,180.09120056152344,,4.0500030517578125,178.29395573870164
2459,2023-12-06,1.0,180.49840057373046,,2.3700103759765625,178.5604956991531
2460,2023-12-07,1.0,180.97520080566406,,3.029998779296875,178.7244835661575
2461,2023-12-08,1.0,181.4756008911133,,6.2800140380859375,178.9251841089691
2462,2023-12-11,1.0,181.91500061035157,,-0.2400054931640625,179.15668822502576
2463,2023-12-12,1.0,182.3342007446289,,2.3899993896484375,179.37408534399907
2464,2023-12-13,1.0,182.84540100097655,,3.6900024414062216,179.57048085319497
2465,2023-12-14,1.0,183.33440093994142,,2.399993896484375,179.88247672256617
2466,2023-12-15,1.0,183.7876010131836,,4.3900146484375,180.18565811779305
2467,2023-12-18,1.0,184.1556008911133,,1.17999267578125,180.73034188586965
2468,2023-12-19,1.0,184.51460083007814,,-1.0200042724609375,180.9296525803295
2469,2023-12-20,1.0,184.84340087890624,,-3.279998779296875,181.08111989091327
2470,2023-12-21,1.0,185.1410006713867,,-2.8900146484375,181.26127031620106
2471,2023-12-22,1.0,185.3988006591797,,-2.289993286132841,181.4104059506207
2472,2023-12-26,1.0,185.68280059814452,,-3.8899993896484375,181.5178819607911
2473,2023-12-27,1.0,185.97140045166014,,-1.680007934570284,181.59547446644632
2474,2023-12-28,1.0,186.30000061035156,,-1.0999908447265625,181.71489434878643
