,Date,signal,short_mavg,long_mavg,signal_ma
1693,2021-01-04,0.0,217.69000244140625,217.69000244140625,0.0
1694,2021-01-05,0.0,217.71000162760416,217.69591769366198,0.0
1695,2021-01-06,-1.0,217.19000147259425,217.54251156144616,-1.0
1696,2021-01-07,0.0,217.29476259769316,217.5635673846768,0.0
1697,2021-01-08,0.0,217.5162133138355,217.62149492643766,0.0
1698,2021-01-11,0.0,217.51371733091443,217.61779099873982,0.0
1699,2021-01-12,0.0,217.26764831613983,217.5420783699241,0.0
1700,2021-01-13,0.0,217.17930050868753,217.50821690423302,0.0
1701,2021-01-14,0.0,216.78317705761833,217.38178837939438,0.0
1702,2021-01-15,0.0,216.38954056608176,217.24849839396032,0.0
1703,2021-01-19,0.0,216.3943464589698,217.22572386008557,0.0
1704,2021-01-20,0.0,217.15107501886703,217.42612590171387,0.0
1705,2021-01-21,1.0,217.89573465713715,217.63862943182625,1.0
1706,2021-01-22,0.0,218.66280725629002,217.8727524604577,0.0
1707,2021-01-25,0.0,219.69777787752875,218.20112559619966,0.0
1708,2021-01-26,0.0,220.90084682548363,218.59912210985755,0.0
1709,2021-01-27,0.0,222.04362273700752,219.00196356863577,0.0
1710,2021-01-28,0.0,223.65184844546218,219.56331650123144,0.0
1711,2021-01-29,0.0,224.4431016138817,219.91251904243245,0.0
1712,2021-02-01,0.0,225.89137706936768,220.46850424958885,0.0
1713,2021-02-02,0.0,227.18838825388846,221.00488425683525,0.0
1714,2021-02-03,0.0,228.6942560392324,221.62446498199483,0.0
1715,2021-02-04,0.0,229.9624216075756,222.19870525030024,0.0
1716,2021-02-05,0.0,231.1279049733534,222.7621219178479,0.0
1717,2021-02-08,0.0,232.20810461595812,223.3172734475058,0.0
1718,2021-02-09,0.0,233.30923791657744,223.8934067101806,0.0
1719,2021-02-10,0.0,234.21502547920994,224.42655038944932,0.0
1720,2021-02-11,0.0,235.19359500434842,224.99171813884973,0.0
1721,2021-02-12,0.0,236.1265864794737,225.55505017699946,0.0
1722,2021-02-16,0.0,236.84786366697548,226.06617543816122,0.0
1723,2021-02-17,0.0,237.54806683661994,226.57698731168463,0.0
1724,2021-02-18,0.0,238.14253602228786,227.06186071941556,0.0
1725,2021-02-19,0.0,238.41181842213692,227.45363932508565,0.0
1726,2021-02-22,0.0,238.04021614448922,227.65240989358568,0.0
1727,2021-02-23,0.0,237.5859102519151,227.81065198876527,0.0
1728,2021-02-24,0.0,237.2967762328525,228.00049286377916,0.0
1729,2021-02-25,0.0,236.50565521002503,228.0283664589731,0.0
1730,2021-02-26,0.0,236.11273613124288,228.15094782302492,0.0
1731,2021-03-01,0.0,236.19152339887748,228.3985268263596,0.0
1732,2021-03-02,0.0,235.97042546728795,228.5526526937069,0.0
1733,2021-03-03,0.0,235.1694323331266,228.52469057722485,0.0
1734,2021-03-04,0.0,234.36567646592778,228.47413579272666,0.0
1735,2021-03-05,0.0,234.10227928855517,228.56218847753763,0.0
1736,2021-03-08,0.0,233.46301453627834,228.5291690666112,0.0
1737,2021-03-09,0.0,233.49320351180393,228.67707976274318,0.0
1738,2021-03-10,0.0,233.39099347915072,228.78251408404466,0.0
1739,2021-03-11,0.0,233.74708980330897,229.01765466992543,0.0
1740,2021-03-12,0.0,233.9378431553748,229.20729820035007,0.0
1741,2021-03-15,0.0,234.0209054794909,229.3651207174837,0.0
1742,2021-03-16,0.0,234.3722484541934,229.60018792864946,0.0
1743,2021-03-17,0.0,234.62631939056857,229.8097599105504,0.0
1744,2021-03-18,0.0,234.25428908867661,229.8354005108364,0.0
1745,2021-03-19,0.0,233.88245261389937,229.84989644302456,0.0
1746,2021-03-22,0.0,234.08317193573413,230.02285726133837,0.0
1747,2021-03-23,0.0,234.4162033543361,230.23573457316138,0.0
1748,2021-03-24,0.0,234.51561319810097,230.38289716867425,0.0
1749,2021-03-25,0.0,234.30841159236667,230.4380267227367,0.0
1750,2021-03-26,0.0,234.51522912904977,230.60822303273116,0.0
1751,2021-03-29,0.0,234.5842554494416,230.73869577809546,0.0
1752,2021-03-30,0.0,234.3238507498296,230.77000029430448,0.0
1753,2021-03-31,0.0,234.46157965674686,230.91084547678776,0.0
1754,2021-04-01,0.0,235.21285836596292,231.233075353597,0.0
1755,2021-04-05,0.0,236.53258683817776,231.73552414150186,0.0
1756,2021-04-06,0.0,237.61138814981337,232.18973474625818,0.0
1757,2021-04-07,0.0,238.78173155425822,232.6886152857012,0.0
1758,2021-04-08,0.0,240.1596618824241,233.26780922131525,0.0
1759,2021-04-09,0.0,241.6539803796709,233.90392744334906,0.0
1760,2021-04-12,0.0,243.01169688276028,234.52381691430006,0.0
1761,2021-04-13,0.0,244.48582005910455,235.198920388105,0.0
1762,2021-04-14,0.0,245.5433606570842,235.77331689373275,0.0
1763,2021-04-15,0.0,246.87256440402857,236.44167416433183,0.0
1764,2021-04-16,0.0,248.1932716259663,237.1261337719387,0.0
1765,2021-04-19,0.0,249.19772101724334,237.73497479904958,0.0
1766,2021-04-20,0.0,250.06079613613684,238.31314479810806,0.0
1767,2021-04-21,0.0,251.06262379672054,238.9403797776618,0.0
1768,2021-04-22,0.0,251.64427995205517,239.45389058470613,0.0
1769,2021-04-23,0.0,252.5495860420008,240.06504842447455,0.0
1770,2021-04-26,0.0,253.4067671611406,240.67025798415045,0.0
1771,2021-04-27,0.0,254.22231326205133,241.27025075137732,0.0
1772,2021-04-28,0.0,254.25447367124585,241.64460981636935,0.0
1773,2021-04-29,0.0,254.08833279844492,241.95067699074872,0.0
