,Date,signal,signal_adx,adx,+DI,-DI
1188,2019-01-02,0.0,0.0,,,
1189,2019-01-03,0.0,0.0,,,
1190,2019-01-04,0.0,0.0,,,
1191,2019-01-07,0.0,0.0,,,
1192,2019-01-08,0.0,0.0,,,
1193,2019-01-09,0.0,0.0,,,
1194,2019-01-10,0.0,0.0,,,
1195,2019-01-11,0.0,0.0,,,
1196,2019-01-14,0.0,0.0,,,
1197,2019-01-15,0.0,0.0,,,
1198,2019-01-16,0.0,0.0,,,
1199,2019-01-17,0.0,0.0,,,
1200,2019-01-18,0.0,0.0,,,
1201,2019-01-22,0.0,0.0,,27.684407674420513,13.58588785548329
1202,2019-01-23,0.0,0.0,,28.411753037396544,14.02942433076729
1203,2019-01-24,0.0,0.0,,30.434772157755834,9.546310596181604
1204,2019-01-25,0.0,0.0,,29.03565630585261,10.702928437297116
1205,2019-01-28,0.0,0.0,,26.147912385772877,16.018199302363602
1206,2019-01-29,0.0,0.0,,23.16653336578909,24.194645252767423
1207,2019-01-30,0.0,0.0,,23.772083461676427,23.117214626553075
1208,2019-01-31,0.0,0.0,,22.794332353688606,23.076919391670057
1209,2019-02-01,0.0,0.0,,22.708771440817106,23.27182407671678
1210,2019-02-04,0.0,0.0,,26.834373168482895,21.14406619909312
1211,2019-02-05,0.0,0.0,,25.984227938914874,22.23623681256152
1212,2019-02-06,0.0,0.0,,21.90414878601463,23.304311248918154
1213,2019-02-07,0.0,0.0,,20.83723125215254,27.27273593978476
1214,2019-02-08,0.0,0.0,18.135256365291063,17.723513556204807,27.679147443003917
1215,2019-02-11,0.0,0.0,16.350044093647472,21.08910477247528,25.34653310779203
1216,2019-02-12,0.0,0.0,14.255279151677446,22.99112823213977,25.18858918747821
1217,2019-02-13,0.0,0.0,10.53741300848311,25.58526909058617,25.685624992983026
1218,2019-02-14,0.0,0.0,8.145401801614714,22.68006271185314,29.2462258127672
1219,2019-02-15,0.0,0.0,6.710961788445721,27.070283081351793,25.01740770993643
1220,2019-02-19,0.0,0.0,8.469569901370948,30.475476108797295,17.596395018128007
1221,2019-02-20,0.0,0.0,8.668356028913067,26.759455064082406,24.61230392229726
1222,2019-02-21,0.0,0.0,10.357749684962076,33.672648719576124,20.521140967013167
1223,2019-02-22,0.0,0.0,13.177732333137842,41.16192519797308,17.346485526939144
1224,2019-02-25,0.0,0.0,15.01180591157596,41.2917641581411,18.75275482444739
1225,2019-02-26,0.0,0.0,16.99788700467898,38.538514022959305,18.312280310512218
1226,2019-02-27,0.0,0.0,19.42278646962669,38.8937842514902,17.866521714812745
1227,2019-02-28,0.0,0.0,22.29906935827788,42.27130541456969,12.753473800458542
1228,2019-03-01,0.0,0.0,24.5509675412413,42.37056701466713,12.851932850207564
1229,2019-03-04,0.0,0.0,26.717015949591335,37.314070935392515,16.185440462650252
1230,2019-03-05,0.0,0.0,29.37802203362731,36.0144603517661,14.776284112953956
1231,2019-03-06,0.0,0.0,32.20936509890086,34.09602227278068,14.670215871957733
1232,2019-03-07,0.0,0.0,33.703836236375274,33.71784964667493,16.770157743078947
1233,2019-03-08,0.0,0.0,34.50874082834614,28.5900304083766,21.041193139033766
1234,2019-03-11,0.0,0.0,34.53630694541876,34.416919481733835,19.70742274957413
1235,2019-03-12,0.0,0.0,37.651019288689945,39.50979096319725,13.959274132072316
1236,2019-03-13,0.0,0.0,39.17069490479326,39.31702787205047,14.711024558403313
1237,2019-03-14,0.0,0.0,38.969878777908754,34.03289276299346,15.328457753209884
1238,2019-03-15,0.0,0.0,39.394509696479645,36.49982420052043,14.377393982467323
1239,2019-03-18,0.0,0.0,39.706561689302085,34.04353139267816,14.608684518146953
1240,2019-03-19,0.0,0.0,40.46441760403362,37.70141361534778,13.365241536908249
1241,2019-03-20,0.0,0.0,39.96848152760963,35.41497262080824,12.866701307006794
1242,2019-03-21,0.0,0.0,40.03244950341709,39.55797166131628,11.699672639443808
1243,2019-03-22,0.0,0.0,41.80941603659535,38.48724614640411,8.342578946028441
1244,2019-03-25,0.0,0.0,42.4407126522883,37.74548277296107,12.363617599103826
1245,2019-03-26,0.0,0.0,43.320133610241044,38.42872927817161,12.086722895840465
1246,2019-03-27,0.0,0.0,44.82597318794409,37.353142696856914,10.953692941332562
1247,2019-03-28,0.0,0.0,49.151868057533925,37.95644762788269,5.231733455560839
1248,2019-03-29,0.0,0.0,52.382597037473296,33.94092185755531,5.4319993903162
1249,2019-04-01,0.0,0.0,54.09459536924136,33.235489042335004,5.465874284639609
1250,2019-04-02,0.0,0.0,55.83647977389354,31.371058634583747,5.5514038615965555
1251,2019-04-03,0.0,0.0,58.27592138055132,33.65134116243868,5.467877476226453
1252,2019-04-04,0.0,0.0,58.870943566401,26.928851347276446,8.547654958943083
1253,2019-04-05,0.0,0.0,59.58112863298863,26.395885553858772,8.824675475563124
1254,2019-04-08,0.0,0.0,58.53140035690198,23.21843049699755,11.707136673575283
1255,2019-04-09,0.0,0.0,57.31288956015207,22.615655074295145,12.273643580783599
1256,2019-04-10,0.0,0.0,54.69354212908636,19.648443006508483,13.744932937710166
1257,2019-04-11,0.0,0.0,51.78591888258176,24.373062521952612,15.045160312797497
1258,2019-04-12,0.0,0.0,50.83042849385829,26.40208165221047,12.06351525857395
1259,2019-04-15,0.0,0.0,49.70579373582155,27.09138187849447,12.631601638648867
1260,2019-04-16,0.0,0.0,49.730252140947705,28.917764152262826,8.397422882744195
1261,2019-04-17,0.0,0.0,47.3877511855859,30.351775345654037,12.104978938427834
