,Cash,Position,pnl,g_sl,g_tp,close,amount,multiplier,no_trades,no_wins
247,100.0,0.0,0.0,0.0,0.0,100.16,0.0,0.0,0.0,0.0
248,100.0,0.0,0.0,0.0,0.0,101.33,0.0,0.0,0.0,0.0
249,100.0,0.0,0.0,0.0,0.0,102.06,0.0,0.0,0.0,0.0
250,100.0,0.0,0.0,0.0,0.0,100.55,0.0,0.0,0.0,0.0
251,100.0,0.0,0.0,0.0,0.0,100.52,0.0,0.0,0.0,0.0
252,100.0,0.0,0.0,0.0,0.0,100.6,0.0,0.0,0.0,0.0
253,100.0,0.0,0.0,0.0,0.0,99.79,0.0,0.0,0.0,0.0
254,100.0,0.0,0.0,0.0,0.0,99.58,0.0,0.0,0.0,0.0
255,100.0,0.0,0.0,0.0,0.0,100.21,0.0,0.0,0.0,0.0
256,100.0,0.0,0.0,0.0,0.0,100.3,0.0,0.0,0.0,0.0
257,100.0,0.0,0.0,0.0,0.0,100.43,0.0,0.0,0.0,0.0
258,100.0,0.0,0.0,0.0,0.0,100.46,0.0,0.0,0.0,0.0
259,-0.07,1.0,-100.07,96.03,121.3,101.08,101.08,0.99,0.0,0.0
260,-0.07,0.0,-100.07,96.03,121.3,100.58,101.08,0.99,0.0,0.0
261,-0.07,0.0,-100.07,96.03,121.3,100.74,101.08,0.99,0.0,0.0
262,-0.07,0.0,-100.07,96.03,121.3,100.39,101.08,0.99,0.0,0.0
263,-0.07,0.0,-100.07,96.03,121.3,99.2,101.08,0.99,0.0,0.0
264,-0.07,0.0,-100.07,96.03,121.3,100.13,101.08,0.99,0.0,0.0
265,-0.07,0.0,-100.07,96.03,121.3,100.35,101.08,0.99,0.0,0.0
266,-0.07,0.0,-100.07,96.03,121.3,99.5,101.08,0.99,0.0,0.0
267,-0.07,0.0,-100.07,96.03,121.3,99.17,101.08,0.99,0.0,0.0
268,-0.07,0.0,-100.07,96.03,121.3,99.66,101.08,0.99,0.0,0.0
269,-0.07,0.0,-100.07,96.03,121.3,101.47,101.08,0.99,0.0,0.0
270,-0.07,0.0,-100.07,96.03,121.3,101.03,101.08,0.99,0.0,0.0
271,-0.07,0.0,-100.07,96.03,121.3,100.47,101.08,0.99,0.0,0.0
272,-0.07,0.0,-100.07,96.03,121.3,100.55,101.08,0.99,0.0,0.0
273,-0.07,0.0,-100.07,96.03,121.3,101.83,101.08,0.99,0.0,0.0
274,-0.07,0.0,-100.07,96.03,121.3,102.3,101.08,0.99,0.0,0.0
275,-0.07,0.0,-100.07,96.03,121.3,103.42,101.08,0.99,0.0,0.0
276,-0.07,0.0,-100.07,96.03,121.3,103.96,101.08,0.99,0.0,0.0
277,-0.07,0.0,-100.07,96.03,121.3,103.6,101.08,0.99,0.0,0.0
278,-0.07,0.0,-100.07,96.03,121.3,102.42,101.08,0.99,0.0,0.0
279,-0.07,0.0,-100.07,96.03,121.3,101.35,101.08,0.99,0.0,0.0
280,-0.07,0.0,-100.07,96.03,121.3,100.82,101.08,0.99,0.0,0.0
281,-0.07,0.0,-100.07,96.03,121.3,101.13,101.08,0.99,0.0,0.0
282,-0.07,0.0,-100.07,96.03,121.3,101.15,101.08,0.99,0.0,0.0
283,-0.07,0.0,-100.07,96.03,121.3,100.14,101.08,0.99,0.0,0.0
284,-0.07,0.0,-100.07,96.03,121.3,100.04,101.08,0.99,0.0,0.0
285,-0.07,0.0,-100.07,96.03,121.3,99.98,101.08,0.99,0.0,0.0
286,-0.07,0.0,-100.07,96.03,121.3,100.09,101.08,0.99,0.0,0.0
287,-0.07,0.0,-100.07,96.03,121.3,99.23,101.08,0.99,0.0,0.0
288,-0.07,0.0,-100.07,96.03,121.3,98.59,101.08,0.99,0.0,0.0
289,-0.07,0.0,-100.07,96.03,121.3,97.96,101.08,0.99,0.0,0.0
290,-0.07,0.0,-100.07,96.03,121.3,98.21,101.08,0.99,0.0,0.0
291,-0.07,0.0,-100.07,96.03,121.3,98.88,101.08,0.99,0.0,0.0
292,-0.07,0.0,-100.07,96.03,121.3,99.24,101.08,0.99,0.0,0.0
293,-0.07,0.0,-100.07,96.03,121.3,98.35,101.08,0.99,0.0,0.0
294,-0.07,0.0,-100.07,96.03,121.3,97.49,101.08,0.99,0.0,0.0
295,-0.07,0.0,-100.07,96.03,121.3,98.36,101.08,0.99,0.0,0.0
296,-0.07,0.0,-100.07,96.03,121.3,98.73,101.08,0.99,0.0,0.0
297,-0.07,0.0,-100.07,96.03,121.3,100.36,101.08,0.99,0.0,0.0
298,-0.07,0.0,-100.07,96.03,121.3,99.86,101.08,0.99,0.0,0.0
299,-0.07,0.0,-100.07,96.03,121.3,100.09,101.08,0.99,0.0,0.0
300,-0.07,0.0,-100.07,96.03,121.3,99.78,101.08,0.99,0.0,0.0
301,-0.07,0.0,-100.07,96.03,121.3,99.33,101.08,0.99,0.0,0.0
302,-0.07,0.0,-100.07,96.03,121.3,99.12,101.08,0.99,0.0,0.0
303,-0.07,0.0,-100.07,96.03,121.3,99.64,101.08,0.99,0.0,0.0
304,-0.07,0.0,-100.07,96.03,121.3,97.68,101.08,0.99,0.0,0.0
305,-0.07,0.0,-100.07,96.03,121.3,97.46,101.08,0.99,0.0,0.0
306,-0.07,0.0,-100.07,96.03,121.3,98.47,101.08,0.99,0.0,0.0
307,-0.07,0.0,-100.07,96.03,121.3,98.44,101.08,0.99,0.0,0.0
308,-0.07,0.0,-100.07,96.03,121.3,98.2,101.08,0.99,0.0,0.0
309,-0.07,0.0,-100.07,96.03,121.3,98.92,101.08,0.99,0.0,0.0
310,-0.07,0.0,-100.07,96.03,121.3,97.77,101.08,0.99,0.0,0.0
311,-0.07,0.0,-100.07,96.03,121.3,98.4,101.08,0.99,0.0,0.0
312,-0.07,0.0,-100.07,96.03,121.3,99.53,101.08,0.99,0.0,0.0
313,-0.07,0.0,-100.07,96.03,121.3,100.27,101.08,0.99,0.0,0.0
314,-0.07,0.0,-100.07,96.03,121.3,99.78,101.08,0.99,0.0,0.0
315,-0.07,0.0,-100.07,96.03,121.3,100.42,101.08,0.99,0.0,0.0
316,-0.07,0.0,-100.07,96.03,121.3,101.11,101.08,0.99,0.0,0.0
317,-0.07,0.0,-100.07,96.03,121.3,100.08,101.08,0.99,0.0,0.0
318,-0.07,0.0,-100.07,96.03,121.3,100.37,101.08,0.99,0.0,0.0
319,-0.07,0.0,-100.07,96.03,121.3,100.34,101.08,0.99,0.0,0.0
320,-0.07,0.0,-100.07,96.03,121.3,100.18,101.08,0.99,0.0,0.0
321,-0.07,0.0,-100.07,96.03,121.3,100.2,101.08,0.99,0.0,0.0
322,-0.07,0.0,-100.07,96.03,121.3,99.15,101.08,0.99,0.0,0.0
323,-0.07,0.0,-100.07,96.03,121.3,98.28,101.08,0.99,0.0,0.0
324,-0.07,0.0,-100.07,96.03,121.3,99.02,101.08,0.99,0.0,0.0
325,-0.07,0.0,-100.07,96.03,121.3,99.73,101.08,0.99,0.0,0.0
326,-0.07,0.0,-100.07,96.03,121.3,99.84,101.08,0.99,0.0,0.0
327,-0.07,0.0,-100.07,96.03,121.3,100.21,101.08,0.99,0.0,0.0
328,-0.07,0.0,-100.07,96.03,121.3,100.02,101.08,0.99,0.0,0.0
329,-0.07,0.0,-100.07,96.03,121.3,99.8,101.08,0.99,0.0,0.0
