,Date,signal,rsi
1318,2019-07-10,0.0,58.157119544172154
1319,2019-07-11,0.0,55.786108760115205
1320,2019-07-12,0.0,57.41735493571594
1321,2019-07-15,0.0,54.59015081209399
1322,2019-07-16,0.0,68.8729129551813
1323,2019-07-17,0.0,61.72354586138305
1324,2019-07-18,0.0,61.45314792773678
1325,2019-07-19,0.0,63.407243333871705
1326,2019-07-22,0.0,63.73629221327594
1327,2019-07-23,0.0,63.59076940029875
1328,2019-07-24,0.0,65.4943091246916
1329,2019-07-25,0.0,64.69490913467325
1330,2019-07-26,0.0,68.71795808124742
1331,2019-07-29,0.0,69.8523299885857
1332,2019-07-30,0.0,61.57411986108795
1333,2019-07-31,0.0,42.56806040490711
1334,2019-08-01,0.0,47.31114519327518
1335,2019-08-02,0.0,44.04051316186713
1336,2019-08-05,1.0,37.608131823758725
1337,2019-08-06,0.0,46.29454812217074
1338,2019-08-07,0.0,47.380511773339286
1339,2019-08-08,0.0,54.50935079437346
1340,2019-08-09,0.0,48.533033711777584
1341,2019-08-12,0.0,43.16405598073576
1342,2019-08-13,0.0,46.071170029861555
1343,2019-08-14,0.0,40.006423721014066
1344,2019-08-15,1.0,37.326268443593484
1345,2019-08-16,0.0,42.42893774171919
1346,2019-08-19,0.0,47.14369672232796
1347,2019-08-20,0.0,51.595213180276794
1348,2019-08-21,0.0,51.186212060727634
1349,2019-08-22,0.0,51.43697607132856
1350,2019-08-23,0.0,51.945895783405994
1351,2019-08-26,0.0,51.270892137855576
1352,2019-08-27,0.0,50.77703700610711
1353,2019-08-28,0.0,43.637764047295725
1354,2019-08-29,0.0,50.74407885590917
1355,2019-08-30,0.0,53.99768967366641
1356,2019-09-03,0.0,44.85942020370757
1357,2019-09-04,0.0,58.344769845284404
1358,2019-09-05,0.0,63.276366848978924
1359,2019-09-06,0.0,56.60293125884555
1360,2019-09-09,0.0,47.95778242909293
1361,2019-09-10,0.0,47.32791720454778
1362,2019-09-11,0.0,43.51627813221856
1363,2019-09-12,0.0,49.38037611631575
1364,2019-09-13,0.0,61.70340191448002
1365,2019-09-16,0.0,52.798992067775295
1366,2019-09-17,0.0,55.003007337904485
1367,2019-09-18,0.0,58.486249167723145
1368,2019-09-19,0.0,58.46244486970955
1369,2019-09-20,0.0,54.20212502607382
1370,2019-09-23,0.0,58.96990986026928
1371,2019-09-24,0.0,49.2836681228817
1372,2019-09-25,0.0,47.97177529315517
1373,2019-09-26,0.0,51.354639882364545
1374,2019-09-27,0.0,50.63749678055324
1375,2019-09-30,0.0,59.03244524636914
1376,2019-10-01,0.0,52.602773169948634
1377,2019-10-02,0.0,42.55316621782451
1378,2019-10-03,0.0,47.48790354681865
1379,2019-10-04,0.0,54.1531160850272
1380,2019-10-07,0.0,49.37179105759925
1381,2019-10-08,0.0,43.46628513859544
1382,2019-10-09,0.0,43.51809071534568
1383,2019-10-10,0.0,49.19279112700589
1384,2019-10-11,0.0,51.26521500682498
1385,2019-10-14,0.0,55.50482189155021
1386,2019-10-15,0.0,55.59495802864019
1387,2019-10-16,0.0,52.098433563159844
1388,2019-10-17,0.0,54.989833948009796
1389,2019-10-18,0.0,46.07178588554277
1390,2019-10-21,0.0,53.455248622211464
1391,2019-10-22,0.0,54.451354258644685
1392,2019-10-23,0.0,52.586227449897116
1393,2019-10-24,0.0,54.685913815266346
1394,2019-10-25,0.0,59.39616107137325
1395,2019-10-28,0.0,70.07542391345773
1396,2019-10-29,0.0,61.469268111156694
1397,2019-10-30,0.0,63.16292511229037
1398,2019-10-31,0.0,58.545630077134994
1399,2019-11-01,0.0,59.55982512220667
1400,2019-11-04,0.0,57.22598018430417
1401,2019-11-05,0.0,60.35806245409681
1402,2019-11-06,0.0,61.36243531086492
1403,2019-11-07,0.0,69.9708081281702
1404,2019-11-08,0.0,71.11609752256936
1405,2019-11-11,-1.0,80.59041439230927
1406,2019-11-12,-1.0,80.69952050688455
1407,2019-11-13,0.0,77.19551718779209
1408,2019-11-14,0.0,77.12800982162723
1409,2019-11-15,0.0,74.16383010211632
1410,2019-11-18,-1.0,84.22964095302609
1411,2019-11-19,-1.0,81.27697942710311
1412,2019-11-20,-1.0,85.6327598686042
1413,2019-11-21,-1.0,83.64477734857546
1414,2019-11-22,-1.0,82.14276678026403
1415,2019-11-25,-1.0,86.04887354887354
1416,2019-11-26,-1.0,90.704771523602
1417,2019-11-27,-1.0,90.78945539516013
1418,2019-11-29,0.0,79.71486843492184
1419,2019-12-02,0.0,65.92591022760988
1420,2019-12-03,0.0,61.11104383261379
1421,2019-12-04,0.0,62.2350668709005
1422,2019-12-05,0.0,59.62920126470089
1423,2019-12-06,0.0,59.25152825406291
1424,2019-12-09,0.0,55.29046217842281
1425,2019-12-10,0.0,53.76784007831377
1426,2019-12-11,0.0,60.81080866736351
1427,2019-12-12,0.0,67.05990517967123
1428,2019-12-13,0.0,70.24589138754784
1429,2019-12-16,0.0,68.5986084950178
1430,2019-12-17,0.0,61.465526993572894
1431,2019-12-18,0.0,58.813357404511244
1432,2019-12-19,0.0,67.99666158886554
1433,2019-12-20,-1.0,83.02518724058476
1434,2019-12-23,-1.0,84.73414905450501
1435,2019-12-24,-1.0,83.76682915347203
1436,2019-12-26,-1.0,85.35600753063177
1437,2019-12-27,-1.0,83.28719065029482
1438,2019-12-30,0.0,76.3759058684903
1439,2019-12-31,0.0,78.1008644893665
1440,2020-01-02,-1.0,81.76632138824314
1441,2020-01-03,0.0,68.55166883621865
1442,2020-01-06,0.0,66.5197926959608
1443,2020-01-07,0.0,57.28500270580082
1444,2020-01-08,0.0,67.15370640732576
1445,2020-01-09,0.0,72.15842499986861
1446,2020-01-10,0.0,66.72605172756128
1447,2020-01-13,0.0,67.19388576025744
1448,2020-01-14,0.0,62.95280160393144
1449,2020-01-15,0.0,65.07274100016497
1450,2020-01-16,0.0,67.90830736764786
1451,2020-01-17,0.0,68.86005259261512
1452,2020-01-21,0.0,71.40798824464513
1453,2020-01-22,0.0,68.6046511627907
1454,2020-01-23,0.0,65.56123521416015
1455,2020-01-24,0.0,66.64936072210108
1456,2020-01-27,0.0,57.51271212745425
1457,2020-01-28,0.0,66.86643734951879
