,Date,signal,short_mavg,long_mavg,signal_ma,signal_rsi,rsi,signal_adx,adx,+DI,-DI,sum
1693,2021-01-04,0.0,217.69000244140625,217.69000244140625,0.0,0.0,,0.0,,,,0.0
1694,2021-01-05,0.0,217.7281827059659,217.72500101725262,0.0,0.0,,0.0,,,,0.0
1695,2021-01-06,0.0,216.73214948669937,216.81250084771054,-1.0,0.0,,0.0,,,,-1.0
1696,2021-01-07,0.0,217.01539381386908,217.0587495874476,0.0,0.0,,0.0,,,,0.0
1697,2021-01-08,0.0,217.4889576871997,217.48562384240427,1.0,0.0,,0.0,,,,1.0
1698,2021-01-11,0.0,217.48914819737502,217.4863541175309,0.0,0.0,,0.0,,,,0.0
1699,2021-01-12,0.0,217.02384719344886,217.0602938772393,-1.0,0.0,,0.0,,,,-1.0
1700,2021-01-13,0.0,216.89951067425642,216.94024428734787,0.0,0.0,,0.0,,,,0.0
1701,2021-01-14,0.0,216.19414587392995,216.2868709515334,0.0,0.0,,0.0,,,,0.0
1702,2021-01-15,0.0,215.54975460530346,215.68072477569189,0.0,0.0,,0.0,,,,0.0
1703,2021-01-19,0.0,215.7116178482312,215.80727105331096,0.0,0.0,,0.0,,,,0.0
1704,2021-01-20,0.0,217.2804139372602,217.22939193407424,1.0,0.0,,0.0,,,,1.0
1705,2021-01-21,0.0,218.67852071606796,218.5194934818457,0.0,0.0,,0.0,,,,0.0
1706,2021-01-22,0.0,220.000607303736,219.75791072624511,0.0,0.0,61.37114029644571,0.0,,28.658356384948142,12.585309846540158,0.0
1707,2021-01-25,0.0,221.73322393565613,221.3865920684204,0.0,0.0,64.83709041235447,0.0,,29.82239707973805,15.5366558617918,0.0
1708,2021-01-26,0.0,223.6599108257286,223.2104936955261,0.0,0.0,66.98047313372533,0.0,,35.61129719243196,16.446359878855493,0.0
1709,2021-01-27,0.0,225.33992592950236,224.82541039568582,0.0,-1.0,77.59956144751689,0.0,,42.25889515324624,10.138168239162846,-1.0
1710,2021-01-28,0.0,227.81084715609853,227.17617410903506,0.0,-1.0,77.59357531699719,0.0,,39.853215286665936,9.772988933073078,-1.0
1711,2021-01-29,0.0,228.56523980296555,227.97347954317377,0.0,0.0,64.33551756693183,0.0,,36.18558075441366,14.085026875927193,0.0
1712,2021-02-01,0.0,230.5806496381508,229.91956526872553,0.0,-1.0,72.7983462734796,0.0,,38.193559195710336,12.469182604723686,-1.0
1713,2021-02-02,0.0,232.20416688700263,231.51797014174394,0.0,-1.0,76.61326748723175,0.0,,38.21724669003952,8.524189874177162,-1.0
1714,2021-02-03,0.0,234.1670456348203,233.43164178478662,0.0,-1.0,77.62123407169545,0.0,,40.467524604154384,8.232598318748813,-1.0
1715,2021-02-04,0.0,235.59303633882314,234.86136723846153,0.0,-1.0,81.55888837062831,0.0,,41.339563874002394,5.7309255306897695,-1.0
1716,2021-02-05,0.0,236.79430190417202,236.08447219009162,0.0,-1.0,82.29509607370385,0.0,,41.20376531010936,4.882282742257985,-1.0
1717,2021-02-08,0.0,237.8262472344504,237.14872702852688,0.0,-1.0,80.81933556488262,0.0,,39.480822984511704,4.967542434295021,-1.0
1718,2021-02-09,0.0,238.90693033227046,238.25227323584923,0.0,-1.0,77.26636765769598,0.0,,32.66057515846158,5.3439862093678565,-1.0
1719,2021-02-10,0.0,239.61839887626104,239.01356225057748,0.0,-1.0,74.82616856068171,0.0,59.2938735735576,33.0038747370087,5.267099517762671,-1.0
1720,2021-02-11,0.0,240.50414553387975,239.9263027910086,0.0,-1.0,75.30024095903873,0.0,61.34434711475967,28.06114496835222,5.40921624925388,-1.0
1721,2021-02-12,0.0,241.3197564355678,240.77025324136787,0.0,-1.0,73.03339521421206,0.0,64.71152758916847,29.382677436987652,3.514150573132523,-1.0
1722,2021-02-16,0.0,241.7525274378722,241.25854385918024,0.0,0.0,67.73790865480753,0.0,67.43989414672602,25.095367439570833,3.583092428771288,0.0
1723,2021-02-17,0.0,242.1975218943031,241.74878604069056,0.0,0.0,67.66729918920376,0.0,66.27692461595497,18.2939536203419,6.935439032895251,0.0
1724,2021-02-18,0.0,242.48706214736302,242.0889872482643,0.0,0.0,59.218513842604104,0.0,64.51686626148043,16.580648078387615,7.807539526299218,0.0
1725,2021-02-19,0.0,242.2112328879703,241.9024895770041,0.0,-1.0,70.2836375128388,0.0,66.51036899036401,17.731870713474084,2.9019137189748156,-1.0
1726,2021-02-22,0.0,240.81100772776404,240.6704070653094,0.0,1.0,37.750255100741995,-1.0,64.7687888383486,10.110690947091985,17.361626462675652,0.0
1727,2021-02-23,0.0,239.43991619043618,239.43700659983466,0.0,1.0,35.86959826846032,0.0,63.05406191550037,10.003521257573567,23.07691686440096,1.0
1728,2021-02-24,0.0,238.5508410743128,238.62250600848853,-1.0,1.0,28.736807912142595,0.0,62.618871262118965,5.714274251570621,22.92725264320663,0.0
1729,2021-02-25,0.0,236.81250733228575,237.01708925593445,0.0,1.0,23.363363925828807,0.0,61.85030326913973,5.353907931538127,25.143697999767962,1.0
1730,2021-02-26,0.0,236.00659779601787,236.24424186041415,0.0,1.0,32.23590397562127,0.0,60.404472262565285,6.210216923115872,23.769601482810607,1.0
1731,2021-03-01,0.0,236.17630773154303,236.36020195724618,0.0,1.0,41.34043212059464,0.0,58.12532953325195,8.554724740608515,22.97763761481024,1.0
1732,2021-03-02,0.0,235.75697816529657,235.94516748390308,0.0,1.0,35.31155778666948,0.0,56.91692098521556,6.631910286514922,22.81668579131713,1.0
