,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
182,10000,0.0,0,0,0,29,0.0,0.0
183,10000,0.0,0,0,0,29,0.0,0.0
184,10000,0.0,0,0,0,29,0.0,0.0
185,10000,0.0,0,0,0,30,0.0,0.0
186,10000,0.0,0,0,0,30,0.0,0.0
187,10000,0.0,0,0,0,30,0.0,0.0
188,10000,0.0,0,0,0,31,0.0,0.0
189,10000,0.0,0,0,0,30,0.0,0.0
190,10000,0.0,0,0,0,30,0.0,0.0
191,10000,0.0,0,0,0,30,0.0,0.0
192,10000,0.0,0,0,0,31,0.0,0.0
193,10000,0.0,0,0,0,31,0.0,0.0
194,10000,0.0,0,0,0,30,0.0,0.0
195,10000,0.0,0,0,0,31,0.0,0.0
196,10000,0.0,0,0,0,30,0.0,0.0
197,10000,0.0,0,0,0,31,0.0,0.0
198,10000,0.0,0,0,0,30,0.0,0.0
199,10000,0.0,0,0,0,30,0.0,0.0
200,10000,0.0,0,0,0,30,0.0,0.0
201,10000,0.0,0,0,0,29,0.0,0.0
202,10000,0.0,0,0,0,30,0.0,0.0
203,10000,0.0,0,0,0,30,0.0,0.0
204,10000,0.0,0,0,0,30,0.0,0.0
205,10000,0.0,0,0,0,31,0.0,0.0
206,10000,0.0,0,0,0,31,0.0,0.0
207,10000,0.0,0,0,0,31,0.0,0.0
208,10000,0.0,0,0,0,32,0.0,0.0
209,10000,0.0,0,0,0,32,0.0,0.0
210,10000,0.0,0,0,0,33,0.0,0.0
211,10000,0.0,0,0,0,32,0.0,0.0
212,10000,0.0,0,0,0,32,0.0,0.0
213,10000,0.0,0,0,0,32,0.0,0.0
214,10000,0.0,0,0,0,32,0.0,0.0
215,10000,0.0,0,0,0,32,0.0,0.0
216,10000,0.0,0,0,0,32,0.0,0.0
217,10000,0.0,0,0,0,32,0.0,0.0
218,10000,0.0,0,0,0,32,0.0,0.0
219,10000,0.0,0,0,0,32,0.0,0.0
220,10000,0.0,0,0,0,32,0.0,0.0
221,10000,0.0,0,0,0,32,0.0,0.0
222,10000,0.0,0,0,0,32,0.0,0.0
223,10000,0.0,0,0,0,32,0.0,0.0
224,10000,0.0,0,0,0,32,0.0,0.0
225,10000,0.0,0,0,0,32,0.0,0.0
226,10000,0.0,0,0,0,32,0.0,0.0
227,10000,0.0,0,0,0,32,0.0,0.0
228,10000,0.0,0,0,0,31,0.0,0.0
229,10000,0.0,0,0,0,32,0.0,0.0
230,10000,0.0,0,0,0,32,0.0,0.0
231,10000,0.0,0,0,0,32,0.0,0.0
232,10000,0.0,0,0,0,32,0.0,0.0
233,10000,0.0,0,0,0,32,0.0,0.0
234,10000,0.0,0,0,0,32,0.0,0.0
235,10000,0.0,0,0,0,32,0.0,0.0
236,10000,0.0,0,0,0,33,0.0,0.0
237,10000,0.0,0,0,0,32,0.0,0.0
238,10000,0.0,0,0,0,32,0.0,0.0
239,10000,0.0,0,0,0,32,0.0,0.0
240,10000,0.0,0,0,0,32,0.0,0.0
241,10000,0.0,0,0,0,33,0.0,0.0
242,10000,0.0,0,0,0,33,0.0,0.0
243,10000,0.0,0,0,0,32,0.0,0.0
244,10000,0.0,0,0,0,32,0.0,0.0
245,10000,0.0,0,0,0,32,0.0,0.0
246,10000,0.0,0,0,0,32,0.0,0.0
247,10000,0.0,0,0,0,32,0.0,0.0
248,10000,0.0,0,0,0,33,0.0,0.0
249,10000,0.0,0,0,0,33,0.0,0.0
250,10000,0.0,0,0,0,33,0.0,0.0
251,10000,0.0,0,0,0,33,0.0,0.0
252,10000,0.0,0,0,0,33,0.0,0.0
253,10000,0.0,0,0,0,33,0.0,0.0
254,10000,0.0,0,0,0,33,0.0,0.0
255,10000,0.0,0,0,0,33,0.0,0.0
256,10000,0.0,0,0,0,33,0.0,0.0
257,10000,0.0,0,0,0,33,0.0,0.0
258,10000,0.0,0,0,0,33,0.0,0.0
259,10000,0.0,0,0,0,33,0.0,0.0
260,10000,0.0,0,0,0,32,0.0,0.0
261,10000,0.0,0,0,0,32,0.0,0.0
262,10000,0.0,0,0,0,32,0.0,0.0
263,10000,0.0,0,0,0,32,0.0,0.0
264,10000,0.0,0,0,0,32,0.0,0.0
265,10000,0.0,0,0,0,32,0.0,0.0
266,10000,0.0,0,0,0,32,0.0,0.0
267,10000,0.0,0,0,0,31,0.0,0.0
268,10000,0.0,0,0,0,31,0.0,0.0
269,10000,0.0,0,0,0,32,0.0,0.0
270,10000,0.0,0,0,0,32,0.0,0.0
271,10000,0.0,0,0,0,32,0.0,0.0
272,10000,0.0,0,0,0,31,0.0,0.0
273,10000,0.0,0,0,0,32,0.0,0.0
274,10000,0.0,0,0,0,32,0.0,0.0
275,10000,0.0,0,0,0,32,0.0,0.0
276,10000,0.0,0,0,0,32,0.0,0.0
277,10000,0.0,0,0,0,32,0.0,0.0
278,10000,0.0,0,0,0,32,0.0,0.0
279,10000,0.0,0,0,0,32,0.0,0.0
280,10000,0.0,0,0,0,32,0.0,0.0
281,10000,0.0,0,0,0,32,0.0,0.0
282,10000,0.0,0,0,0,32,0.0,0.0
283,10000,0.0,0,0,0,32,0.0,0.0
284,10000,0.0,0,0,0,32,0.0,0.0
285,10000,0.0,0,0,0,32,0.0,0.0
286,10000,0.0,0,0,0,32,0.0,0.0
287,10000,0.0,0,0,0,32,0.0,0.0
288,10000,0.0,0,0,0,32,0.0,0.0
289,10000,0.0,0,0,0,32,0.0,0.0
290,10000,0.0,0,0,0,32,0.0,0.0
291,10000,0.0,0,0,0,32,0.0,0.0
292,10000,0.0,0,0,0,32,0.0,0.0
293,10000,0.0,0,0,0,32,0.0,0.0
294,10000,0.0,0,0,0,32,0.0,0.0
295,10000,0.0,0,0,0,32,0.0,0.0
296,10000,0.0,0,0,0,32,0.0,0.0
297,10000,0.0,0,0,0,32,0.0,0.0
298,10000,0.0,0,0,0,32,0.0,0.0
299,10000,0.0,0,0,0,32,0.0,0.0
300,10000,0.0,0,0,0,32,0.0,0.0
301,10000,0.0,0,0,0,32,0.0,0.0
302,10000,0.0,0,0,0,32,0.0,0.0
303,10000,0.0,0,0,0,32,0.0,0.0
304,10000,0.0,0,0,0,31,0.0,0.0
305,10000,0.0,0,0,0,31,0.0,0.0
306,10000,0.0,0,0,0,31,0.0,0.0
307,10000,0.0,0,0,0,31,0.0,0.0
308,10000,0.0,0,0,0,31,0.0,0.0
309,10000,0.0,0,0,0,32,0.0,0.0
310,10000,0.0,0,0,0,31,0.0,0.0
311,10000,0.0,0,0,0,32,0.0,0.0
312,10000,0.0,0,0,0,32,0.0,0.0
313,10000,0.0,0,0,0,33,0.0,0.0
314,10000,0.0,0,0,0,33,0.0,0.0
315,10000,0.0,0,0,0,33,0.0,0.0
316,10000,0.0,0,0,0,33,0.0,0.0
317,10000,0.0,0,0,0,33,0.0,0.0
318,10000,0.0,0,0,0,33,0.0,0.0
319,10000,0.0,0,0,0,33,0.0,0.0
320,10000,0.0,0,0,0,33,0.0,0.0
321,10000,0.0,0,0,0,32,0.0,0.0
322,10000,0.0,0,0,0,32,0.0,0.0
323,10000,0.0,0,0,0,32,0.0,0.0
324,10000,0.0,0,0,0,33,0.0,0.0
325,10000,0.0,0,0,0,33,0.0,0.0
326,10000,0.0,0,0,0,33,0.0,0.0
327,10000,0.0,0,0,0,34,0.0,0.0
328,10000,0.0,0,0,0,34,0.0,0.0
329,10000,0.0,0,0,0,34,0.0,0.0
330,10000,0.0,0,0,0,33,0.0,0.0
331,10000,0.0,0,0,0,33,0.0,0.0
332,10000,0.0,0,0,0,33,0.0,0.0
333,10000,0.0,0,0,0,33,0.0,0.0
334,10000,0.0,0,0,0,33,0.0,0.0
335,10000,0.0,0,0,0,33,0.0,0.0
336,10000,0.0,0,0,0,33,0.0,0.0
337,10000,0.0,0,0,0,33,0.0,0.0
338,10000,0.0,0,0,0,33,0.0,0.0
339,10000,0.0,0,0,0,33,0.0,0.0
340,10000,0.0,0,0,0,33,0.0,0.0
341,10000,0.0,0,0,0,32,0.0,0.0
342,10000,0.0,0,0,0,31,0.0,0.0
343,10000,0.0,0,0,0,30,0.0,0.0
344,10000,0.0,0,0,0,29,0.0,0.0
345,10000,0.0,0,0,0,30,0.0,0.0
346,10000,0.0,0,0,0,31,0.0,0.0
347,10000,0.0,0,0,0,30,0.0,0.0
348,10000,0.0,0,0,0,30,0.0,0.0
349,10000,0.0,0,0,0,29,0.0,0.0
350,10000,0.0,0,0,0,30,0.0,0.0
351,10000,0.0,0,0,0,30,0.0,0.0
352,10000,0.0,0,0,0,29,0.0,0.0
353,10000,0.0,0,0,0,30,0.0,0.0
354,10000,0.0,0,0,0,30,0.0,0.0
355,10000,0.0,0,0,0,30,0.0,0.0
356,10000,0.0,0,0,0,31,0.0,0.0
357,10000,0.0,0,0,0,31,0.0,0.0
358,10000,0.0,0,0,0,31,0.0,0.0
359,10000,0.0,0,0,0,31,0.0,0.0
360,10000,0.0,0,0,0,31,0.0,0.0
361,10000,0.0,0,0,0,31,0.0,0.0
362,10000,0.0,0,0,0,30,0.0,0.0
363,10000,0.0,0,0,0,30,0.0,0.0
364,10000,0.0,0,0,0,30,0.0,0.0
365,10000,0.0,0,0,0,31,0.0,0.0
366,10000,0.0,0,0,0,30,0.0,0.0
367,10000,0.0,0,0,0,29,0.0,0.0
368,10000,0.0,0,0,0,29,0.0,0.0
369,10000,0.0,0,0,0,29,0.0,0.0
370,10000,0.0,0,0,0,30,0.0,0.0
371,10000,0.0,0,0,0,31,0.0,0.0
372,10000,0.0,0,0,0,31,0.0,0.0
373,10000,0.0,0,0,0,31,0.0,0.0
374,10000,0.0,0,0,0,31,0.0,0.0
375,10000,0.0,0,0,0,31,0.0,0.0
376,10000,0.0,0,0,0,31,0.0,0.0
377,10000,0.0,0,0,0,31,0.0,0.0
378,10000,0.0,0,0,0,31,0.0,0.0
379,10000,0.0,0,0,0,31,0.0,0.0
380,10000,0.0,0,0,0,32,0.0,0.0
381,10000,0.0,0,0,0,32,0.0,0.0
382,10000,0.0,0,0,0,32,0.0,0.0
383,9967,1.0,0,28,40,32,0.0,0.0
384,9967,0.0,0,28,40,31,0.0,0.0
385,9967,0.0,0,28,40,31,0.0,0.0
386,9967,0.0,0,28,40,32,0.0,0.0
387,9967,0.0,0,28,40,32,0.0,0.0
388,9967,0.0,0,28,40,33,0.0,0.0
389,9967,0.0,0,28,40,33,0.0,0.0
390,9967,0.0,0,28,40,32,0.0,0.0
391,9967,0.0,0,28,40,32,0.0,0.0
392,9967,0.0,0,28,40,33,0.0,0.0
393,9967,0.0,0,28,40,33,0.0,0.0
394,9967,0.0,0,28,40,32,0.0,0.0
395,9967,0.0,0,28,40,32,0.0,0.0
396,9967,0.0,0,28,40,32,0.0,0.0
397,9967,0.0,0,28,40,31,0.0,0.0
398,9967,0.0,0,28,40,32,0.0,0.0
399,9967,0.0,0,28,40,32,0.0,0.0
400,9967,0.0,0,28,40,31,0.0,0.0
401,9967,0.0,0,28,40,31,0.0,0.0
402,9967,0.0,0,28,40,31,0.0,0.0
403,9967,0.0,0,28,40,31,0.0,0.0
404,9967,0.0,0,28,40,31,0.0,0.0
405,9967,0.0,0,28,40,30,0.0,0.0
406,9967,0.0,0,28,40,30,0.0,0.0
407,9967,0.0,0,28,40,29,0.0,0.0
408,9967,0.0,0,28,40,30,0.0,0.0
409,9967,0.0,0,28,40,31,0.0,0.0
410,9967,0.0,0,28,40,31,0.0,0.0
411,9967,0.0,0,28,40,31,0.0,0.0
412,9967,0.0,0,28,40,31,0.0,0.0
413,9967,0.0,0,28,40,31,0.0,0.0
414,9967,0.0,0,28,40,30,0.0,0.0
415,9967,0.0,0,28,40,31,0.0,0.0
416,9967,0.0,0,28,40,30,0.0,0.0
417,9967,0.0,0,28,40,30,0.0,0.0
418,9967,0.0,0,28,40,30,0.0,0.0
419,9967,0.0,0,28,40,30,0.0,0.0
420,9967,0.0,0,28,40,30,0.0,0.0
421,9967,0.0,0,28,40,30,0.0,0.0
422,9967,0.0,0,28,40,30,0.0,0.0
423,9967,0.0,0,28,40,30,0.0,0.0
424,9967,0.0,0,28,40,30,0.0,0.0
425,9967,0.0,0,28,40,30,0.0,0.0
426,9967,0.0,0,28,40,30,0.0,0.0
427,9967,0.0,0,28,40,30,0.0,0.0
428,9967,0.0,0,28,40,30,0.0,0.0
429,9967,0.0,0,28,40,30,0.0,0.0
430,9967,0.0,0,28,40,30,0.0,0.0
431,9967,0.0,0,28,40,31,0.0,0.0
432,9967,0.0,0,28,40,31,0.0,0.0
433,9967,0.0,0,28,40,30,0.0,0.0
434,9967,0.0,0,28,40,30,0.0,0.0
435,9967,0.0,0,28,40,30,0.0,0.0
436,9967,0.0,0,28,40,29,0.0,0.0
437,9967,0.0,0,28,40,29,0.0,0.0
438,9967,0.0,0,28,40,29,0.0,0.0
439,9967,0.0,0,28,40,29,0.0,0.0
