,Date,signal,short_mavg,long_mavg,momentum,rsi,adx,+DI,-DI
731,2017-03-09,1.0,64.3570011138916,64.30133399963378,1.2000007629394531,52.39187218786007,40.22978224064393,25.897710390722512,14.363366251560228
732,2017-03-10,1.0,64.41500129699708,64.3343339284261,1.1399993896484375,53.452090268184385,42.64924179428159,26.152250326171263,12.647308591336746
733,2017-03-13,1.0,64.46200141906738,64.32166735331218,0.8199996948242188,52.40176309200762,42.946687925548716,23.068883794548732,14.391470572919504
734,2017-03-14,1.0,64.5070011138916,64.28300056457519,0.26999664306640625,50.52634875865536,42.27639584354403,22.77961204870856,14.42004020381733
735,2017-03-15,-1.0,64.54900169372559,64.27266731262208,-0.6399993896484375,51.34573100228093,39.0405487169181,22.78351184425013,14.226785879317836
736,2017-03-16,-1.0,64.55500144958496,64.28566729227701,-0.3600006103515625,50.20239569787519,35.98551257692274,22.52633650087437,13.999955829767924
737,2017-03-17,-1.0,64.64700164794922,64.34100074768067,-0.09999847412109375,56.69456667991438,34.117349715391235,27.492115414559677,13.011537373075086
738,2017-03-20,1.0,64.74100189208984,64.38800086975098,0.3800048828125,60.34862624736441,34.275786468605354,27.521010928808476,9.558760477415106
739,2017-03-21,1.0,64.84100189208985,64.44433428446452,0.6399993896484375,41.609124440289676,30.96465058076959,18.522235122369718,15.18216943071739
740,2017-03-22,-1.0,64.827001953125,64.45700098673503,-0.6299972534179688,62.028311647650085,28.958674625197627,18.597537809770294,13.922741376984305
741,2017-03-23,1.0,64.802001953125,64.50266774495442,0.029998779296875,57.451990529236674,28.372783152895412,19.999960469386508,11.50253885365174
742,2017-03-24,1.0,64.827001953125,64.56400108337402,0.4499969482421875,58.35305015312698,28.014350589094303,19.395168411857647,11.574506475053662
743,2017-03-27,-1.0,64.78900146484375,64.57666765848795,-0.5600051879882812,58.25472971270842,25.567142573808166,16.61594568668116,15.400188145590985
744,2017-03-28,1.0,64.83200149536133,64.60066769917806,0.839996337890625,53.90630898405369,23.021995752767275,16.125670087776854,15.415810357421414
745,2017-03-29,1.0,64.88900146484374,64.62433433532715,0.18000030517578125,59.84043146811571,21.022961750588316,15.47980571409675,15.686248264882641
746,2017-03-30,1.0,64.95600128173828,64.65500094095866,0.05999755859375,60.26317480203665,19.367306487862457,19.6318075582502,15.541889905794909
747,2017-03-31,1.0,65.03000106811524,64.68533439636231,1.0200042724609375,65.4156192408626,19.338892987113265,21.5150433912114,13.535314458162794
748,2017-04-03,1.0,65.12000045776367,64.73000094095866,0.8499984741210938,65.24067334682421,19.783806574858534,21.10989877634843,11.694670087416645
749,2017-04-04,1.0,65.14000015258789,64.75600090026856,0.26999664306640625,63.687219891014564,19.811587393003773,17.688378865590064,10.954732024349644
750,2017-04-05,1.0,65.35800018310547,64.82166760762533,0.8800048828125,62.63733960452901,20.552854082793544,22.11533735490398,10.961530984507197
751,2017-04-06,-1.0,65.42399978637695,64.86100095113119,-0.0500030517578125,62.011175565491286,19.76044710575548,17.533720389231526,10.597290608712653
752,2017-04-07,1.0,65.4729995727539,64.90500094095866,0.04000091552734375,60.504180130276445,17.82409929963117,17.43295593145526,11.302690532165148
753,2017-04-10,1.0,65.57099990844726,64.9406675974528,0.220001220703125,71.99993896499896,20.415167936080884,19.097601101579915,7.030417535615214
754,2017-04-11,-1.0,65.6349998474121,64.99133415222168,-0.7000045776367188,60.089773547594696,20.94115843565473,19.633229276145496,12.621426343395303
